SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
255.59937,145.70,0.00000,0.00335,0.00000,0.00000,0.00000,0.26700,0.04649,0.01000,0.00174,0.00001,0.00000,0.00000,0.00000
509.63235,145.70,0.03893,0.05019,0.03893,0.00000,0.00000,-0.00000,-0.00000,0.01000,-0.00000,0.00000,0.00479,-0.06347,-3.34105
728.64795,145.70,2.63746,2.31524,2.63746,0.00000,0.00000,-0.00001,-0.00072,0.00999,-0.00074,0.00000,0.02036,-0.08622,-0.71012
764.09906,145.70,5.65448,9.27100,5.65448,0.00000,0.00000,-0.00010,-0.00699,0.00989,-0.00726,0.00000,0.03114,-0.10778,-0.20837
228.80504,145.70,6.33574,17.56506,6.33574,-0.00157,-0.26180,-0.00028,0.00641,0.00956,-0.01737,0.01095,-0.07784,-0.20956,0.16526
-66.54210,145.70,5.24572,24.99591,5.24572,-0.00314,-0.26180,-0.00062,0.00238,0.00907,-0.02129,0.01095,0.28620,0.04431,-0.20956
-271.03088,145.70,3.82480,30.28550,3.82480,-0.00314,0.00000,-0.00096,-0.01781,0.00872,-0.01837,0.00000,-0.09580,-0.05269,-0.10418
-316.04523,145.70,1.21654,32.46022,1.21654,-0.00314,0.00000,-0.00122,-0.00627,0.00845,-0.00646,0.00000,-0.16047,-0.13292,-0.07904
-169.85408,145.70,-0.76885,31.77100,-0.76885,-0.00314,0.00000,-0.00119,0.00401,0.00849,0.00413,0.00000,-0.08023,-0.15328,0.15687
98.34931,145.70,-1.20681,30.30558,-1.20681,-0.00314,0.00000,-0.00106,0.00592,0.00862,0.00611,0.00000,0.04191,-0.09460,-0.08143
686.94354,145.70,-0.64233,29.10112,-0.64233,-0.00314,0.00000,-0.00095,0.00309,0.00873,0.00319,0.00000,0.00000,-0.00479,-0.00599
818.08051,145.70,2.97809,31.81115,2.97809,-0.00314,0.00000,-0.00115,-0.01483,0.00853,-0.01529,0.00000,0.02754,-0.18801,0.05389
723.05573,145.70,5.41117,38.17807,5.41117,-0.00314,0.00000,-0.00178,-0.03171,0.00788,-0.03264,0.00000,0.00240,-0.05030,-0.11855
440.41852,145.70,4.67151,45.48848,4.67151,-0.00314,0.00000,-0.00258,-0.03185,0.00706,-0.03270,0.00000,-0.03832,-0.22872,0.05149
60.34187,145.70,2.66666,49.94833,2.66666,-0.00314,0.00000,-0.00316,-0.01966,0.00646,-0.02015,0.00000,0.00000,-0.09580,0.00958
94.36130,145.70,0.11679,51.27658,0.11679,-0.00314,0.00000,-0.00336,-0.00089,0.00626,-0.00091,0.00000,-0.01317,-0.11137,0.04670
291.38702,145.70,-0.75912,50.52379,-0.75912,-0.00314,0.00000,-0.00328,0.00567,0.00634,0.00581,0.00000,0.00120,-0.02874,-0.09700
511.56860,145.70,-0.51095,49.92825,-0.51095,-0.00314,0.00000,-0.00319,0.00209,0.00643,0.00215,0.00000,-0.00599,-0.00359,-0.06826
696.93280,145.70,0.34202,50.55390,0.34202,-0.00314,0.00000,-0.00322,-0.00393,0.00640,-0.00403,0.00000,-0.00359,-0.20238,0.03952
790.28015,145.70,3.13381,53.76580,3.13381,-0.00314,0.00000,-0.00359,-0.02423,0.00601,-0.02478,0.00000,0.04790,-0.17484,0.00719
505.78842,145.70,3.91239,58.99182,3.91239,-0.00314,0.00000,-0.00436,-0.03243,0.00523,-0.03309,0.00000,-0.00838,-0.14610,-0.06347
382.17267,145.70,2.75425,62.74238,2.75425,-0.00314,0.00000,-0.00499,-0.02393,0.00459,-0.02436,0.00000,0.00479,-0.12694,0.02754
355.20486,145.70,1.33333,64.73978,1.33333,-0.00314,0.00000,-0.00527,-0.01181,0.00430,-0.01201,0.00000,-0.03233,-0.18202,0.05269
473.40527,145.70,-0.20438,64.68959,-0.20438,-0.00314,0.00000,-0.00531,0.00182,0.00427,0.00185,0.00000,0.00958,-0.06826,-0.08143
630.48041,145.70,-0.00973,64.57584,-0.00973,-0.00314,0.00000,-0.00528,0.00009,0.00429,0.00009,0.00000,-0.01796,-0.01078,0.02156
774.58203,145.70,1.11922,65.32528,1.11922,-0.00314,0.00000,-0.00536,-0.00997,0.00421,-0.01013,0.00000,0.00000,-0.12095,0.00719
811.68976,145.70,4.01945,69.53420,4.01945,-0.00471,0.00000,-0.00587,-0.03688,0.00356,-0.03739,0.00000,-0.00719,-0.09221,-0.02275
412.96255,145.70,3.80534,74.97770,3.80534,-0.00471,0.00000,-0.00678,-0.03620,0.00264,-0.03659,0.00000,0.02874,-0.03952,-0.06347
288.76398,145.70,1.64476,78.29331,1.64476,-0.00471,0.00000,-0.00736,-0.01595,0.00205,-0.01608,0.00000,-0.00958,-0.15568,0.09820
350.58466,145.70,-0.24331,78.26989,-0.24331,-0.00471,0.00000,-0.00739,0.00236,0.00202,0.00238,0.00000,-0.03832,-0.08143,-0.10059
492.04376,145.70,-0.20438,77.95204,-0.20438,-0.00471,0.00000,-0.00733,0.00189,0.00208,0.00190,0.00000,-0.04670,0.03353,-0.01557
629.07050,145.70,0.00000,77.90855,0.00000,-0.00471,0.00000,-0.00732,0.00000,0.00209,0.00000,0.00000,-0.00599,-0.07544,0.04910
799.55121,145.70,1.39172,78.89219,1.39172,-0.00471,0.00000,-0.00748,-0.01354,0.00193,-0.01364,0.00000,0.05030,-0.06706,-0.03114
681.98987,145.70,3.21167,82.64610,3.21167,-0.00471,0.00000,-0.00794,-0.03151,0.00147,-0.03172,0.00000,0.06586,-0.05269,-0.03233
494.40356,145.70,3.01702,86.46022,3.01702,-0.00628,0.00000,-0.00859,-0.02998,0.00068,-0.03008,-0.01095,0.05628,-0.12933,-0.10299
423.29974,145.70,1.16788,88.46766,1.16788,-0.00628,0.00000,-0.00898,-0.01165,0.00029,-0.01167,0.00000,0.10538,-0.18322,0.02635
471.97229,145.70,-0.36010,88.35725,-0.36010,-0.00785,0.00000,-0.00885,0.00359,0.00028,0.00360,-0.01095,0.00479,-0.14131,-0.07904
599.86487,145.70,0.08759,88.26357,0.08759,-0.00785,0.00000,-0.00883,-0.00087,0.00031,-0.00088,0.00000,-0.15568,-0.03952,-0.01078
696.53125,145.70,0.42822,88.58141,0.42822,-0.00785,0.00000,-0.00887,-0.00427,0.00027,-0.00428,0.00000,-0.12095,-0.10778,0.12574
763.60394,145.70,1.99513,90.55204,1.99513,-0.00942,-0.26180,-0.00902,0.00220,-0.00001,-0.01995,0.01095,0.10299,-0.09939,-0.01796
573.52002,145.70,2.89050,94.17881,2.89050,-0.01100,0.00000,-0.00967,-0.02890,-0.00066,-0.02886,0.00000,0.25746,-0.06826,-0.05628
459.88086,145.70,1.55717,96.79517,1.55717,-0.01257,-0.26180,-0.00991,0.00655,-0.00117,-0.01547,0.01095,0.17484,-0.11257,-0.04431
473.99127,145.70,0.00973,97.16654,0.00973,-0.01414,0.00000,-0.01000,-0.00010,-0.00125,-0.00010,0.00000,0.04431,-0.17603,-0.02515
567.13910,145.70,0.00973,97.11301,0.00973,-0.01414,0.00000,-0.00985,-0.00010,-0.00124,-0.00010,0.00000,-0.34249,-0.17603,-0.02036
652.37579,145.70,0.05839,97.14647,0.05839,-0.01414,0.00000,-0.00985,-0.00058,-0.00124,-0.00058,0.00000,-0.23591,-0.11736,0.07065
734.74078,145.70,0.97323,97.75874,0.97323,-0.01414,0.00000,-0.00994,-0.00968,-0.00133,-0.00965,0.00000,-0.03712,-0.12813,-0.04551
746.29309,145.70,2.79318,101.30186,2.79318,-0.01571,0.00000,-0.01040,-0.02760,-0.00192,-0.02745,0.00000,0.18561,-0.12813,0.00000
510.23700,145.70,1.73235,104.40335,1.73235,-0.01728,-0.26180,-0.01079,0.00509,-0.00244,-0.01682,0.01095,0.08862,-0.13771,-0.03473
455.29391,145.70,-0.03893,104.98550,-0.03893,-0.01728,0.00000,-0.01094,0.00038,-0.00259,0.00038,0.00000,-0.00359,-0.11855,0.01437
518.83148,145.70,0.00000,104.96877,0.00000,-0.01728,0.00000,-0.01094,0.00000,-0.00258,0.00000,0.00000,-0.19639,-0.03114,-0.02635
661.99719,145.70,0.00973,104.97546,0.00973,-0.01728,0.00000,-0.01094,-0.00009,-0.00258,-0.00009,0.00000,-0.10059,-0.04191,0.06227
726.40424,145.70,0.09732,105.13606,0.09732,-0.01885,-0.26180,-0.01082,0.02106,-0.00260,-0.00094,0.01095,-0.03473,-0.03593,-0.00120
721.99304,145.70,1.58637,107.12342,1.58637,-0.01885,0.00000,-0.01107,-0.01535,-0.00285,-0.01523,0.00000,0.10179,-0.02515,0.06347
621.37524,145.70,2.07298,109.77993,2.07298,-0.02042,-0.26180,-0.01142,0.00213,-0.00332,-0.01969,0.01095,0.16406,-0.09101,-0.02515
513.53796,145.70,0.82725,111.31227,0.82725,-0.02042,0.00000,-0.01172,-0.00780,-0.00363,-0.00772,0.00000,0.04670,-0.15089,-0.06946
497.60583,145.70,-0.14598,111.34572,-0.14598,-0.02199,0.00000,-0.01175,0.00146,-0.00365,0.00145,0.00000,-0.03233,-0.16765,0.04191
566.07520,145.70,0.00000,111.31896,0.00000,-0.02199,0.00000,-0.01160,0.00000,-0.00364,0.00000,0.00000,-0.18801,-0.20238,-0.05868
686.69385,145.70,0.00000,111.32900,0.00000,-0.02199,0.00000,-0.01160,0.00000,-0.00364,0.00000,0.00000,-0.05988,-0.22034,0.02395
723.76276,145.70,0.36010,111.70037,0.36010,-0.02199,0.00000,-0.01164,-0.00338,-0.00368,-0.00335,0.00000,-0.03114,-0.27423,-0.00240
698.96027,145.70,1.53771,112.95502,1.53771,-0.02199,0.00000,-0.01186,-0.01425,-0.00389,-0.01411,0.00000,0.08862,-0.29818,0.00240
624.48187,145.70,1.87834,115.27361,1.87834,-0.02356,0.00000,-0.01207,-0.01725,-0.00423,-0.01706,-0.01095,0.18082,-0.15927,-0.06347
532.14679,145.70,0.95377,117.02007,0.95377,-0.02513,-0.26180,-0.01224,0.01328,-0.00452,-0.00861,0.01095,0.07544,-0.10179,-0.04311
517.69159,145.70,-0.00973,117.13048,-0.00973,-0.02513,0.00000,-0.01227,0.00009,-0.00456,0.00009,0.00000,-0.07065,-0.16166,0.00120
568.32263,145.70,-0.00973,117.13048,-0.00973,-0.02513,0.00000,-0.01227,0.00009,-0.00456,0.00009,0.00000,-0.16286,-0.13412,-0.02874
668.30237,145.70,0.00000,117.13383,0.00000,-0.02513,0.00000,-0.01227,0.00000,-0.00456,0.00000,0.00000,-0.08383,-0.14131,0.05748
711.10669,145.70,0.25304,117.32454,0.25304,-0.02513,0.00000,-0.01230,-0.00227,-0.00459,-0.00225,0.00000,-0.01916,-0.15568,-0.02395
699.18494,145.70,1.14841,118.56914,1.14841,-0.02670,-0.26180,-0.01232,0.01172,-0.00474,-0.01013,0.01095,0.05030,-0.12694,0.00359
629.48328,145.70,1.35279,120.38922,1.35279,-0.02827,-0.26180,-0.01248,0.01010,-0.00502,-0.01173,0.01095,0.24309,-0.02156,0.00359
565.21545,145.70,0.53528,121.41970,0.53528,-0.02985,0.00000,-0.01266,-0.00463,-0.00521,-0.00457,0.00000,0.16047,-0.07664,-0.11257
564.51910,145.70,0.00000,121.52677,0.00000,-0.02985,0.00000,-0.01255,0.00000,-0.00523,0.00000,0.00000,-0.07185,-0.09341,0.03712
605.90625,145.70,0.00000,121.52677,0.00000,-0.02985,0.00000,-0.01255,0.00000,-0.00523,0.00000,0.00000,-0.25507,-0.14849,0.05988
683.93427,145.70,0.10706,121.64052,0.10706,-0.03142,0.00000,-0.01243,-0.00092,-0.00524,-0.00091,-0.01095,-0.14729,-0.13771,-0.00120
669.27783,145.70,0.90511,122.56729,0.90511,-0.03142,0.00000,-0.01256,-0.00774,-0.00536,-0.00765,0.00000,0.02275,-0.04551,0.00120
616.01093,145.70,1.04136,123.91561,1.04136,-0.03299,0.00000,-0.01264,-0.00876,-0.00558,-0.00866,-0.01095,0.21435,-0.17484,0.01317
573.67743,145.70,0.80778,124.95279,0.80778,-0.03456,-0.26180,-0.01264,0.01519,-0.00570,-0.00665,0.01095,0.24908,-0.10538,-0.09580
571.55023,145.70,-0.01946,125.08327,-0.01946,-0.03613,0.00000,-0.01268,0.00016,-0.00575,0.00016,0.00000,-0.02754,-0.11975,-0.04431
608.48419,145.70,0.00000,125.08327,0.00000,-0.03613,0.00000,-0.01255,0.00000,-0.00575,0.00000,0.00000,-0.31734,-0.17005,0.06586
644.65247,145.70,0.00000,125.08327,0.00000,-0.03613,0.00000,-0.01255,0.00000,-0.00575,0.00000,0.00000,-0.14370,-0.11736,-0.00719
680.82074,145.70,0.48662,125.51487,0.48662,-0.03613,0.00000,-0.01260,-0.00401,-0.00579,-0.00397,0.00000,-0.01198,-0.15208,-0.05988
653.67023,145.70,1.45012,126.94684,1.45012,-0.03770,0.00000,-0.01265,-0.01171,-0.00597,-0.01159,-0.01095,0.13173,-0.17005,0.05748
559.43365,145.70,1.28467,128.66320,1.28467,-0.03927,0.00000,-0.01278,-0.01017,-0.00623,-0.01008,-0.01095,0.32093,-0.07305,-0.05030
493.64166,145.70,0.36010,129.60000,0.36010,-0.04084,0.00000,-0.01279,-0.00280,-0.00637,-0.00278,0.00000,0.11376,0.03114,-0.08263
490.93839,145.70,0.00000,129.64684,0.00000,-0.04241,-0.26180,-0.01267,0.02185,-0.00638,0.00000,0.01095,-0.31614,0.05389,0.07065
546.75397,145.70,0.00000,129.64684,0.00000,-0.04241,0.00000,-0.01267,0.00000,-0.00638,0.00000,0.00000,-0.24669,0.04072,0.02635
574.91669,145.70,0.00000,129.64684,0.00000,-0.04241,0.00000,-0.01267,0.00000,-0.00638,0.00000,0.00000,-0.04910,0.12095,-0.04551
603.07935,145.70,0.00973,129.65353,0.00973,-0.04241,0.00000,-0.01267,-0.00008,-0.00638,-0.00007,0.00000,-0.02635,0.10179,0.01677
633.98010,147.86,0.03893,129.70037,0.03893,-0.04241,0.00000,-0.01267,-0.00030,-0.00638,-0.00030,0.00000,-0.01796,0.05988,0.00838
657.54785,147.86,0.38929,130.05502,0.38929,-0.04241,0.00000,-0.01271,-0.00301,-0.00642,-0.00299,0.00000,0.01317,0.10538,-0.02754
655.34448,147.86,0.58394,130.69405,0.58394,-0.04241,0.00000,-0.01280,-0.00448,-0.00651,-0.00444,0.00000,0.06107,0.04670,0.02395
636.19067,147.86,0.64233,131.92193,0.64233,-0.04398,0.00000,-0.01284,-0.00483,-0.00668,-0.00479,0.00000,0.14370,-0.01677,-0.00958
575.53943,147.86,0.48662,132.59108,0.48662,-0.04398,0.00000,-0.01291,-0.00370,-0.00675,-0.00367,0.00000,0.13053,0.04551,-0.04790
570.60284,147.86,-0.00973,132.77509,-0.00973,-0.04555,0.00000,-0.01282,0.00007,-0.00679,0.00007,0.00000,-0.00120,0.06227,-0.03233
597.31598,147.86,0.00000,132.77509,0.00000,-0.04555,0.00000,-0.01282,0.00000,-0.00679,0.00000,0.00000,-0.15568,-0.03114,0.00479
623.77405,147.86,0.00000,132.77509,0.00000,-0.04555,0.00000,-0.01282,0.00000,-0.00679,0.00000,0.00000,-0.08502,-0.03353,0.02754
650.23212,147.86,0.00000,132.77509,0.00000,-0.04555,0.00000,-0.01282,0.00000,-0.00679,0.00000,0.00000,-0.02275,0.01796,-0.00958
690.09375,147.86,0.30170,133.00595,0.30170,-0.04555,0.00000,-0.01285,-0.00222,-0.00682,-0.00221,0.00000,0.00240,0.00000,0.00000
645.77209,147.86,1.24574,134.26394,1.24574,-0.04712,0.00000,-0.01296,-0.00899,-0.00693,-0.00894,0.00000,0.04191,-0.06826,0.00479
546.86859,147.86,1.38199,136.03383,1.38199,-0.04712,0.00000,-0.01307,-0.00973,-0.00717,-0.00968,0.00000,0.23351,-0.02515,0.00359
