CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
0,602.18,90.00,90.06,-0.07069,19.98
0,600.12,90.00,90.06,-0.07069,-0.01
0,597.96,90.00,90.06,-0.07069,0.04
0,595.80,90.00,90.06,-0.07069,0.01
0,593.64,90.00,90.06,-0.07069,0.01
0,591.48,90.00,90.06,-0.07069,-0.10
0,589.32,90.00,90.06,-0.07069,0.01
0,587.16,90.00,90.06,-0.07069,-0.13
0,585.00,90.00,90.06,-0.07069,0.10
0,582.84,90.00,90.06,-0.07069,0.02
0,580.68,90.00,90.06,-0.07069,0.06
0,578.52,90.00,90.06,-0.07069,0.01
0,577.38,90.00,90.05,-0.07069,-0.08
0,575.33,90.00,90.05,-0.07069,0.01
0,573.28,90.00,90.05,-0.07069,-0.13
0,571.23,90.00,90.05,-0.07069,0.09
0,569.18,90.00,90.05,-0.07069,-0.04
0,568.17,90.00,90.05,-0.07069,-0.08
0,566.27,90.00,90.05,-0.07069,-0.08
0,564.47,90.00,90.05,-0.07069,0.06
0,562.57,90.00,90.05,-0.07069,0.02
0,560.67,90.00,90.05,-0.07069,0.05
0,559.76,90.00,90.05,-0.07069,0.00
0,557.97,90.00,90.05,-0.07069,0.04
0,556.19,90.00,90.05,-0.07069,-0.05
0,554.40,90.00,90.05,-0.07069,0.03
0,553.69,90.00,90.04,-0.07069,-0.09
0,552.02,90.00,90.04,-0.07069,-0.12
0,551.39,90.00,90.04,-0.07069,0.04
0,549.86,90.00,90.04,-0.07069,-0.04
0,549.39,90.00,90.04,-0.07069,0.02
0,547.98,90.00,90.03,-0.07069,-0.07
0,547.69,90.00,90.03,-0.07069,0.01
0,547.45,90.00,90.03,-0.07069,-0.05
0,547.29,90.00,90.03,-0.07069,-0.12
0,546.28,90.00,90.03,-0.07069,0.10
0,546.32,90.00,90.02,-0.07069,-0.03
0,546.41,90.00,90.02,-0.07069,-0.03
0,545.67,90.00,90.02,-0.07069,0.00
0,544.89,90.00,90.02,-0.07069,-0.03
0,545.21,90.00,90.02,-0.07069,0.02
0,544.58,90.00,90.01,-0.07069,0.07
0,545.03,90.00,90.01,-0.07069,0.00
0,544.51,90.00,90.01,-0.07069,-0.10
0,544.99,90.00,90.01,-0.07069,-0.09
0,544.62,90.00,90.01,-0.07069,0.14
0,544.25,90.00,90.01,-0.07069,-0.07
0,543.88,90.00,90.01,-0.07069,-0.12
0,544.56,90.00,90.01,-0.07069,-0.03
0,544.30,90.00,90.01,-0.07069,0.03
0,544.04,90.00,90.01,-0.07069,0.05
0,543.78,90.00,90.01,-0.07069,0.11
0,543.52,90.00,90.01,-0.07069,0.04
0,544.37,90.00,90.00,-0.07069,0.11
0,544.25,90.00,90.00,-0.07069,-0.26
0,544.14,90.00,90.00,-0.07069,0.07
0,544.03,90.00,90.00,-0.07069,0.07
0,543.93,90.00,90.00,-0.07069,-0.19
0,544.88,90.00,90.00,-0.07069,0.04
0,544.88,90.00,90.00,-0.07069,-0.06
0,545.87,90.00,90.00,-0.07069,-0.03
0,545.98,90.00,90.00,-0.07069,0.16
0,546.09,90.00,90.00,-0.07069,0.05
0,546.20,90.00,90.00,-0.07069,0.16
0,546.31,90.00,90.00,-0.07069,0.01
0,546.42,90.00,90.00,-0.07069,-0.06
0,546.54,90.00,90.00,-0.07069,0.07
0,546.65,90.00,90.00,-0.07069,-0.03
0,546.76,90.00,90.00,-0.07069,0.04
0,546.87,90.00,90.00,-0.07069,-0.03
0,546.98,90.00,90.00,-0.07069,-0.00
0,547.09,90.00,90.00,-0.07069,-0.00
0,547.21,90.00,90.00,-0.07069,-0.04
0,547.32,90.00,90.00,-0.07069,0.07
0,547.43,90.00,90.00,-0.07069,-0.02
0,547.54,90.00,90.00,-0.07069,-0.02
0,547.65,90.00,90.00,-0.07069,0.11
0,547.76,90.00,90.00,-0.07069,-0.00
0,547.87,90.00,90.00,-0.07069,-0.10
0,547.98,90.00,90.00,-0.07069,-0.01
0,548.09,90.00,90.00,-0.07069,-0.03
0,548.21,90.00,90.00,-0.07069,0.20
0,548.32,90.00,90.00,-0.07069,0.00
0,548.43,90.00,90.00,-0.07069,0.10
0,548.54,90.00,90.00,-0.07069,-0.06
0,548.65,90.00,90.00,-0.07069,-0.14
0,548.76,90.00,90.00,-0.07069,0.01
0,548.88,90.00,90.00,-0.07069,-0.11
0,548.99,90.00,90.00,-0.07069,0.05
0,549.10,90.00,90.00,-0.07069,-0.04
0,550.27,90.00,89.99,-0.07069,0.03
0,550.53,90.00,89.99,-0.07069,0.08
0,550.80,90.00,89.99,-0.07069,-0.12
0,551.06,90.00,89.99,-0.07069,0.18
0,551.32,90.00,89.99,-0.07069,0.18
0,551.56,90.00,89.99,-0.07069,-0.03
0,551.83,90.00,89.99,-0.07069,0.09
0,552.09,90.00,89.99,-0.07069,-0.04
0,552.35,90.00,89.99,-0.07069,0.01
0,552.61,90.00,89.99,-0.07069,0.15
0,552.87,90.00,89.99,-0.07069,-0.06
0,553.13,90.00,89.99,-0.07069,0.03
0,553.39,90.00,89.99,-0.07069,0.02
0,553.65,90.00,89.99,-0.07069,-0.13
0,553.91,90.00,89.99,-0.07069,0.09
0,554.17,90.00,89.99,-0.07069,-0.05
0,554.43,90.00,89.99,-0.07069,0.09
0,554.69,90.00,89.99,-0.07069,-0.07
0,554.95,90.00,89.99,-0.07069,0.07
0,555.21,90.00,89.99,-0.07069,-0.00
0,555.48,90.00,89.99,-0.07069,-0.04
0,555.74,90.00,89.99,-0.07069,0.07
0,556.00,90.00,89.99,-0.07069,-0.08
0,556.26,90.00,89.99,-0.07069,-0.08
0,556.51,90.00,89.99,-0.07069,0.09
0,556.77,90.00,89.99,-0.07069,-0.04
0,557.03,90.00,89.99,-0.07069,0.01
0,557.29,90.00,89.99,-0.07069,-0.09
0,557.55,90.00,89.99,-0.07069,-0.04
0,557.81,90.00,89.99,-0.07069,0.18
0,558.07,90.00,89.99,-0.07069,-0.10
0,558.33,90.00,89.99,-0.07069,0.05
0,558.59,90.00,89.99,-0.07069,0.07
0,558.85,90.00,89.99,-0.07069,-0.12
0,559.11,90.00,89.99,-0.07069,-0.09
0,559.37,90.00,89.99,-0.07069,-0.10
0,559.63,90.00,89.99,-0.07069,-0.05
0,559.89,90.00,89.99,-0.07069,0.03
0,560.16,90.00,89.99,-0.07069,0.10
0,560.42,90.00,89.99,-0.07069,0.02
0,560.68,90.00,89.99,-0.07069,-0.08
0,560.94,90.00,89.99,-0.07069,-0.02
0,561.20,90.00,89.99,-0.07069,-0.02
0,561.45,90.00,89.99,-0.07069,-0.00
0,561.71,90.00,89.99,-0.07069,0.10
0,561.97,90.00,89.99,-0.07069,-0.00
0,562.23,90.00,89.99,-0.07069,-0.07
0,562.49,90.00,89.99,-0.07069,0.05
0,562.75,90.00,89.99,-0.07069,-0.16
0,563.01,90.00,89.99,-0.07069,0.08
0,563.27,90.00,89.99,-0.07069,0.03
0,563.53,90.00,89.99,-0.07069,0.05
0,563.79,90.00,89.99,-0.07069,0.04
0,564.05,90.00,89.99,-0.07069,-0.02
0,564.31,90.00,89.99,-0.07069,0.09
0,564.57,90.00,89.99,-0.07069,-0.05
0,564.84,90.00,89.99,-0.07069,0.00
0,565.10,90.00,89.99,-0.07069,-0.09
0,565.36,90.00,89.99,-0.07069,0.04
0,565.62,90.00,89.99,-0.07069,0.15
0,564.89,90.00,90.00,-0.07069,0.04
0,565.00,90.00,90.00,-0.07069,0.04
0,565.11,90.00,90.00,-0.07069,0.01
0,565.22,90.00,90.00,-0.07069,-0.07
0,565.33,90.00,90.00,-0.07069,-0.11
0,565.44,90.00,90.00,-0.07069,0.01
0,565.56,90.00,90.00,-0.07069,0.00
0,565.67,90.00,90.00,-0.07069,0.10
0,565.78,90.00,90.00,-0.07069,-0.09
0,565.89,90.00,90.00,-0.07069,0.08
0,567.03,90.00,89.99,-0.07069,-0.06
0,567.30,90.00,89.99,-0.07069,0.13
0,567.56,90.00,89.99,-0.07069,-0.08
0,567.82,90.00,89.99,-0.07069,0.02
0,568.08,90.00,89.99,-0.07069,-0.01
0,568.34,90.00,89.99,-0.07069,-0.13
0,568.60,90.00,89.99,-0.07069,0.12
0,567.75,90.00,90.00,-0.07069,-0.05
0,567.86,90.00,90.00,-0.07069,0.03
0,567.97,90.00,90.00,-0.07069,-0.04
0,568.08,90.00,90.00,-0.07069,-0.04
0,568.19,90.00,90.00,-0.07069,-0.03
0,568.30,90.00,90.00,-0.07069,0.16
0,568.41,90.00,90.00,-0.07069,-0.10
0,568.52,90.00,90.00,-0.07069,0.01
0,568.63,90.00,90.00,-0.07069,-0.07
0,568.75,90.00,90.00,-0.07069,0.03
0,568.86,90.00,90.00,-0.07069,0.02
0,568.97,90.00,90.00,-0.07069,-0.12
0,569.08,90.00,90.00,-0.07069,0.16
0,569.19,90.00,90.00,-0.07069,-0.19
0,569.30,90.00,90.00,-0.07069,0.14
0,569.42,90.00,90.00,-0.07069,-0.04
0,569.53,90.00,90.00,-0.07069,0.07
0,569.64,90.00,90.00,-0.07069,-0.01
0,569.75,90.00,90.00,-0.07069,-0.06
0,569.86,90.00,90.00,-0.07069,0.12
0,569.97,90.00,90.00,-0.07069,-0.06
0,570.09,90.00,90.00,-0.07069,0.02
0,570.20,90.00,90.00,-0.07069,0.02
0,570.30,90.00,90.00,-0.07069,-0.08
0,570.42,90.00,90.00,-0.07069,-0.02
0,570.53,90.00,90.00,-0.07069,0.06
0,570.64,90.00,90.00,-0.07069,-0.13
0,570.75,90.00,90.00,-0.07069,0.10
0,570.86,90.00,90.00,-0.07069,0.00
0,570.97,90.00,90.00,-0.07069,-0.04
0,571.09,90.00,90.00,-0.07069,-0.07
0,571.20,90.00,90.00,-0.07069,0.07
0,571.31,90.00,90.00,-0.07069,0.10
0,571.42,90.00,90.00,-0.07069,-0.03
0,571.53,90.00,90.00,-0.07069,0.05
0,571.65,90.00,90.00,-0.07069,-0.10
0,571.76,90.00,90.00,-0.07069,0.07
0,571.87,90.00,90.00,-0.07069,-0.09
0,571.98,90.00,90.00,-0.07069,-0.07
0,572.09,90.00,90.00,-0.07069,-0.04
0,572.20,90.00,90.00,-0.07069,-0.09
0,572.32,90.00,90.00,-0.07069,-0.09
0,572.42,90.00,90.00,-0.07069,0.18
0,572.53,90.00,90.00,-0.07069,0.00
0,572.65,90.00,90.00,-0.07069,0.07
0,572.76,90.00,90.00,-0.07069,0.00
0,572.87,90.00,90.00,-0.07069,-0.18
0,572.98,90.00,90.00,-0.07069,0.07
0,573.09,90.00,90.00,-0.07069,-0.04
0,573.20,90.00,90.00,-0.07069,-0.01
0,573.32,90.00,90.00,-0.07069,-0.05
0,573.43,90.00,90.00,-0.07069,0.09
0,573.54,90.00,90.00,-0.07069,0.01
0,573.65,90.00,90.00,-0.07069,0.00
0,573.76,90.00,90.00,-0.07069,-0.01
0,573.87,90.00,90.00,-0.07069,0.02
0,573.99,90.00,90.00,-0.07069,0.11
0,574.10,90.00,90.00,-0.07069,-0.03
0,574.21,90.00,90.00,-0.07069,0.12
0,574.32,90.00,90.00,-0.07069,-0.09
0,574.43,90.00,90.00,-0.07069,-0.09
0,574.54,90.00,90.00,-0.07069,0.05
0,574.65,90.00,90.00,-0.07069,0.10
0,574.76,90.00,90.00,-0.07069,-0.01
0,574.87,90.00,90.00,-0.07069,0.08
0,574.99,90.00,90.00,-0.07069,-0.08
0,575.10,90.00,90.00,-0.07069,0.02
0,575.21,90.00,90.00,-0.07069,0.00
0,575.32,90.00,90.00,-0.07069,-0.08
0,575.43,90.00,90.00,-0.07069,-0.12
0,575.54,90.00,90.00,-0.07069,-0.08
0,575.66,90.00,90.00,-0.07069,0.06
0,575.77,90.00,90.00,-0.07069,-0.12
0,575.88,90.00,90.00,-0.07069,0.15
0,575.99,90.00,90.00,-0.07069,-0.06
0,576.10,90.00,90.00,-0.07069,0.01
0,576.22,90.00,90.00,-0.07069,0.05
0,576.33,90.00,90.00,-0.07069,-0.13
0,576.44,90.00,90.00,-0.07069,0.10
0,576.55,90.00,90.00,-0.07069,0.10
0,576.66,90.00,90.00,-0.07069,-0.27
0,576.77,90.00,90.00,-0.07069,0.06
0,576.88,90.00,90.00,-0.07069,-0.03
0,576.99,90.00,90.00,-0.07069,0.09
0,577.10,90.00,90.00,-0.07069,0.03
0,577.22,90.00,90.00,-0.07069,-0.13
0,577.33,90.00,90.00,-0.07069,0.11
0,577.44,90.00,90.00,-0.07069,-0.04
0,577.55,90.00,90.00,-0.07069,0.17
0,577.66,90.00,90.00,-0.07069,0.02
0,577.77,90.00,90.00,-0.07069,0.08
0,577.89,90.00,90.00,-0.07069,-0.01
0,578.00,90.00,90.00,-0.07069,-0.04
0,578.11,90.00,90.00,-0.07069,0.04
0,578.22,90.00,90.00,-0.07069,-0.07
0,578.33,90.00,90.00,-0.07069,0.08
0,578.44,90.00,90.00,-0.07069,-0.04
0,578.56,90.00,90.00,-0.07069,0.06
0,578.67,90.00,90.00,-0.07069,0.06
0,578.77,90.00,90.00,-0.07069,-0.08
0,578.89,90.00,90.00,-0.07069,0.07
0,579.00,90.00,90.00,-0.07069,0.01
0,579.11,90.00,90.00,-0.07069,-0.10
0,579.22,90.00,90.00,-0.07069,0.17
0,579.33,90.00,90.00,-0.07069,-0.12
0,579.44,90.00,90.00,-0.07069,-0.04
0,579.56,90.00,90.00,-0.07069,-0.21
0,579.67,90.00,90.00,-0.07069,0.02
0,579.78,90.00,90.00,-0.07069,0.01
0,579.89,90.00,90.00,-0.07069,-0.15
0,581.00,90.00,89.99,-0.06912,1.83
0,581.26,90.00,89.99,-0.06754,3.76
0,581.52,90.00,89.99,-0.06597,3.55
0,583.93,90.00,89.99,-0.06440,3.95
0,586.58,90.00,89.98,-0.06440,-1.06
0,588.39,90.00,89.98,-0.06440,-0.84
0,589.32,90.00,89.98,-0.06597,3.09
0,589.24,90.00,89.98,-0.07226,3.09
0,578.81,90.00,90.02,-0.07540,-6.97
0,563.57,90.00,90.06,-0.07697,-10.43
0,515.09,90.00,90.22,-0.08168,-0.81
0,485.20,90.00,90.28,-0.08168,-10.02
0,475.54,90.00,90.28,-0.08168,-6.18
0,467.05,90.00,90.27,-0.07854,-7.13
0,480.18,90.00,90.19,-0.07697,2.28
0,526.66,90.00,90.01,-0.07383,2.61
0,566.54,90.00,89.89,-0.07383,12.41
0,570.63,90.00,89.89,-0.07226,10.98
0,574.73,90.00,89.89,-0.07226,6.55
0,577.79,90.00,89.90,-0.07069,-1.05
0,581.75,90.00,89.89,-0.07069,1.07
0,586.82,90.00,89.89,-0.06754,4.35
0,590.92,90.00,89.89,-0.06754,2.56
0,595.02,90.00,89.89,-0.06754,2.23
0,599.11,90.00,89.89,-0.06754,0.43
0,603.21,90.00,89.89,-0.06754,0.37
0,607.31,90.00,89.89,-0.06754,0.37
0,611.20,90.00,89.89,-0.06754,1.15
0,614.25,90.00,89.90,-0.06754,1.01
0,616.14,90.00,89.90,-0.06912,-1.25
0,618.82,90.00,89.91,-0.07069,-1.72
0,621.39,90.00,89.91,-0.07226,-3.44
