CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
0,521.08,90.00,90.20,-0.06754,-1.66
0,495.17,90.00,90.25,-0.07069,-3.09
0,485.49,90.00,90.25,-0.07069,-5.13
0,476.80,90.00,90.25,-0.06912,-3.41
0,474.24,90.00,90.22,-0.06440,-1.31
0,529.92,90.00,90.01,-0.06440,4.01
0,542.12,90.00,89.98,-0.06126,3.42
0,543.99,90.00,89.98,-0.05969,5.07
0,545.93,90.00,89.97,-0.05969,5.80
0,546.94,90.00,89.97,-0.05969,-0.48
0,547.95,90.00,89.97,-0.05812,0.32
0,552.00,90.00,89.96,-0.05655,1.36
0,571.97,90.00,89.90,-0.05341,2.62
0,580.03,90.00,89.89,-0.05341,2.53
0,584.24,90.00,89.89,-0.05341,2.53
0,588.21,90.00,89.89,-0.05498,1.44
0,591.35,90.00,89.89,-0.05498,-0.24
0,595.45,90.00,89.89,-0.05498,-0.14
0,599.59,90.00,89.89,-0.05498,0.73
0,603.71,90.00,89.89,-0.05498,0.87
0,607.81,90.00,89.89,-0.05498,0.31
0,610.84,90.00,89.90,-0.05655,-1.00
0,603.47,90.00,89.94,-0.05812,-1.94
0,597.59,90.00,89.96,-0.05969,-2.11
0,579.57,90.00,90.03,-0.06126,-3.13
0,546.35,90.00,90.13,-0.06283,-0.59
0,507.53,90.00,90.24,-0.06912,-3.57
0,492.95,90.00,90.25,-0.07069,-4.28
0,483.27,90.00,90.25,-0.07069,-4.97
0,473.58,90.00,90.25,-0.06912,-2.15
0,487.13,90.00,90.16,-0.06440,1.62
0,540.39,90.00,89.98,-0.06283,1.80
0,544.10,90.00,89.98,-0.06126,5.91
0,544.99,90.00,89.98,-0.05969,5.91
0,546.89,90.00,89.97,-0.05969,5.42
0,546.91,90.00,89.97,-0.05969,-0.08
0,548.89,90.00,89.97,-0.05812,0.32
0,553.92,90.00,89.96,-0.05655,0.89
0,576.34,90.00,89.89,-0.05341,2.74
0,580.43,90.00,89.89,-0.05341,2.31
0,584.53,90.00,89.89,-0.05498,1.03
0,588.63,90.00,89.89,-0.05498,0.65
0,592.72,90.00,89.89,-0.05498,-0.05
0,596.82,90.00,89.89,-0.05498,-0.34
0,600.92,90.00,89.89,-0.05498,0.72
0,605.02,90.00,89.89,-0.05498,-0.17
0,608.09,90.00,89.90,-0.05655,-1.29
0,609.02,90.00,89.91,-0.05812,-1.72
0,599.04,90.00,89.95,-0.05969,-2.23
0,591.66,90.00,89.98,-0.05969,-2.77
0,569.76,90.00,90.06,-0.06283,-0.63
0,537.37,90.00,90.15,-0.06597,-2.50
0,496.94,90.00,90.26,-0.06912,-2.50
0,489.60,90.00,90.25,-0.07069,-3.41
0,479.92,90.00,90.25,-0.06912,-3.95
0,471.23,90.00,90.25,-0.06754,-2.44
0,508.64,90.00,90.09,-0.06440,-0.03
0,542.32,90.00,89.98,-0.06126,2.25
0,544.18,90.00,89.98,-0.05969,4.43
0,547.08,90.00,89.97,-0.05812,6.20
0,548.23,90.00,89.97,-0.05969,1.75
0,549.39,90.00,89.97,-0.05969,-0.87
0,550.54,90.00,89.97,-0.05812,0.25
0,562.93,90.00,89.93,-0.05498,2.35
0,577.28,90.00,89.90,-0.05341,2.78
0,581.23,90.00,89.90,-0.05341,1.57
0,585.18,90.00,89.90,-0.05498,0.39
0,589.13,90.00,89.90,-0.05498,-0.11
0,593.08,90.00,89.90,-0.05498,0.11
0,597.02,90.00,89.90,-0.05498,0.25
0,600.97,90.00,89.90,-0.05498,-0.25
0,604.92,90.00,89.90,-0.05498,-0.25
0,607.61,90.00,89.90,-0.05655,-0.99
0,604.33,90.00,89.93,-0.05812,-1.33
0,595.66,90.00,89.96,-0.05969,-2.46
0,585.90,90.00,90.00,-0.06126,-2.24
0,551.77,90.00,90.11,-0.06283,-1.60
0,514.54,90.00,90.22,-0.06912,-1.95
0,494.40,90.00,90.25,-0.07069,-3.14
0,484.83,90.00,90.25,-0.07069,-4.35
0,476.29,90.00,90.25,-0.06912,-3.11
0,480.88,90.00,90.19,-0.06283,-0.74
0,537.15,90.00,89.99,-0.06283,0.35
0,545.88,90.00,89.97,-0.05969,4.72
0,547.03,90.00,89.97,-0.05969,6.49
0,549.24,90.00,89.97,-0.05969,2.16
0,550.50,90.00,89.97,-0.05812,-0.47
0,551.77,90.00,89.97,-0.05812,0.34
0,557.05,90.00,89.95,-0.05498,2.36
0,575.57,90.00,89.90,-0.05341,2.86
0,579.38,90.00,89.90,-0.05341,2.86
0,581.98,90.00,89.90,-0.05341,1.84
0,585.72,90.00,89.90,-0.05498,0.09
0,589.40,90.00,89.90,-0.05498,-0.04
0,593.09,90.00,89.90,-0.05498,0.08
0,596.80,90.00,89.90,-0.05498,0.37
0,600.49,90.00,89.90,-0.05498,0.13
0,604.18,90.00,89.91,-0.05655,-0.49
0,604.78,90.00,89.91,-0.05812,-1.29
0,596.65,90.00,89.95,-0.05969,-2.84
0,590.37,90.00,89.98,-0.05969,-2.96
0,559.17,90.00,90.09,-0.06283,-1.06
0,526.85,90.00,90.18,-0.06912,-1.00
0,497.65,90.00,90.24,-0.07069,-2.74
0,488.29,90.00,90.24,-0.07069,-4.65
0,478.98,90.00,90.24,-0.06912,-2.60
0,475.68,90.00,90.22,-0.06440,-0.79
0,529.42,90.00,90.02,-0.06440,2.09
0,545.70,90.00,89.97,-0.06126,5.15
0,546.86,90.00,89.97,-0.05969,5.15
0,549.00,90.00,89.97,-0.05812,5.62
0,550.27,90.00,89.97,-0.05969,2.32
0,551.53,90.00,89.97,-0.05812,-0.61
0,553.82,90.00,89.96,-0.05655,0.46
0,570.68,90.00,89.91,-0.05341,2.60
0,577.25,90.00,89.90,-0.05341,2.66
0,580.94,90.00,89.90,-0.05341,1.52
0,584.62,90.00,89.90,-0.05498,0.48
0,588.31,90.00,89.90,-0.05498,-0.28
0,592.00,90.00,89.90,-0.05498,-0.15
0,595.69,90.00,89.90,-0.05498,0.60
0,599.37,90.00,89.90,-0.05498,0.24
0,602.00,90.00,89.91,-0.05655,-0.81
0,602.54,90.00,89.92,-0.05812,-1.94
0,593.24,90.00,89.96,-0.05969,-3.20
0,588.74,90.00,89.98,-0.05969,-3.27
0,570.08,90.00,90.04,-0.06283,-0.57
0,536.22,90.00,90.15,-0.06597,-2.41
0,496.95,90.00,90.25,-0.06912,-2.41
