SL_PWM,SL_position
Calculating offsets, do not move MPU6050
0.00,0.00
-815.94,-0.01
-815.94,-0.03
-815.94,-0.08
-815.94,-0.14
-815.94,-0.22
-815.94,-0.32
-815.94,-0.43
-815.94,-0.56
-815.94,-0.70
-815.94,-1.03
-815.94,-1.42
-815.94,-1.86
-815.94,-2.35
-815.94,-2.89
-815.94,-3.49
-815.94,-4.14
-815.94,-4.85
-815.94,-5.58
-815.94,-6.37
-815.94,-7.22
-815.94,-8.08
-815.94,-8.99
-815.94,-9.95
-815.94,-10.94
-815.94,-11.95
-815.94,-12.98
-815.94,-14.07
-815.94,-15.23
-815.94,-16.36
-815.94,-17.59
-815.94,-18.80
-815.94,-20.05
-815.94,-21.33
-815.94,-22.64
-815.94,-23.95
-815.94,-25.18
-815.94,-26.51
-815.94,-27.91
-815.94,-29.30
-815.94,-30.71
-815.94,-32.13
-815.94,-33.58
-815.94,-35.06
-815.94,-36.55
-815.94,-38.05
-815.94,-39.59
-815.94,-41.04
-815.94,-42.57
-815.94,-44.06
-815.94,-45.59
-815.94,-47.00
-815.94,-48.50
-815.94,-49.94
-815.94,-51.39
815.94,-52.86
815.94,-54.21
815.94,-55.55
815.94,-56.79
815.94,-57.94
815.94,-59.00
815.94,-59.97
815.94,-60.81
815.94,-61.57
815.94,-62.20
815.94,-62.76
815.94,-63.01
815.94,-63.42
815.94,-63.48
815.94,-63.75
815.94,-63.87
815.94,-63.97
815.94,-64.05
815.94,-64.11
815.94,-64.15
815.94,-64.18
815.94,-64.19
815.94,-64.17
815.94,-64.15
815.94,-64.10
815.94,-64.04
815.94,-63.97
815.94,-63.87
815.94,-63.76
815.94,-63.63
815.94,-63.49
815.94,-63.33
815.94,-63.15
815.94,-62.96
815.94,-62.75
815.94,-62.30
815.94,-61.79
815.94,-61.23
815.94,-60.62
815.94,-59.96
815.94,-59.26
815.94,-58.50
815.94,-57.69
815.94,-56.86
815.94,-55.98
815.94,-55.09
815.94,-54.11
815.94,-53.14
815.94,-52.12
815.94,-51.11
815.94,-50.28
815.94,-49.21
815.94,-48.05
815.94,-46.90
815.94,-45.69
815.94,-44.51
815.94,-43.26
815.94,-41.99
815.94,-40.71
815.94,-39.37
815.94,-38.08
815.94,-36.83
815.94,-35.48
815.94,-34.15
815.94,-32.77
815.94,-31.37
815.94,-29.96
815.94,-28.52
815.94,-27.10
815.94,-25.63
815.94,-24.17
815.94,-22.71
815.94,-21.26
815.94,-19.75
815.94,-18.23
815.94,-16.74
815.94,-15.35
815.94,-13.79
815.94,-12.30
815.94,-10.79
815.94,-9.34
815.94,-7.82
815.94,-6.32
815.94,-4.76
815.94,-3.29
815.94,-1.75
-815.94,-0.24
-815.94,1.11
-815.94,2.35
-815.94,3.53
-815.94,4.56
-815.94,5.53
-815.94,6.35
-815.94,7.08
-815.94,7.71
-815.94,8.22
-815.94,8.44
-815.94,8.64
-815.94,8.80
-815.94,8.95
-815.94,9.07
-815.94,9.15
-815.94,9.21
-815.94,9.24
-815.94,9.25
-815.94,9.23
-815.94,9.19
-815.94,9.14
-815.94,9.05
-815.94,8.96
-815.94,8.84
-815.94,8.71
-815.94,8.56
-815.94,8.39
-815.94,8.20
-815.94,8.15
-815.94,7.80
-815.94,7.57
-815.94,7.32
-815.94,7.04
-815.94,6.49
-815.94,5.84
-815.94,5.16
815.94,4.47
815.94,3.78
815.94,3.21
815.94,2.92
815.94,2.45
815.94,2.23
815.94,2.05
815.94,1.87
815.94,1.72
815.94,1.57
815.94,1.44
815.94,1.33
815.94,1.24
815.94,1.17
815.94,1.11
815.94,1.08
815.94,1.06
815.94,1.06
815.94,1.08
815.94,1.11
815.94,1.16
815.94,1.22
815.94,1.30
815.94,1.39
815.94,1.49
815.94,1.61
815.94,1.73
815.94,1.86
815.94,2.00
815.94,2.16
815.94,2.33
815.94,2.50
815.94,2.70
815.94,2.89
815.94,3.10
815.94,3.31
815.94,3.55
815.94,3.62
815.94,4.03
815.94,4.11
815.94,4.54
815.94,4.81
815.94,5.10
815.94,5.40
815.94,6.00
815.94,6.61
815.94,6.94
815.94,7.05
815.94,7.62
815.94,8.31
815.94,9.04
815.94,9.80
815.94,10.54
815.94,11.33
815.94,12.13
815.94,12.97
815.94,13.79
815.94,14.63
815.94,15.46
815.94,16.06
815.94,16.94
815.94,17.83
815.94,18.73
815.94,19.65
815.94,20.56
815.94,21.49
815.94,22.46
815.94,23.42
815.94,24.36
815.94,25.36
815.94,26.30
815.94,27.30
815.94,28.28
815.94,29.08
815.94,30.07
815.94,31.05
815.94,32.03
815.94,33.05
815.94,34.05
815.94,35.06
815.94,36.05
815.94,37.07
815.94,38.10
815.94,39.10
815.94,40.08
815.94,41.10
815.94,42.11
815.94,42.98
815.94,43.97
815.94,44.98
815.94,45.99
815.94,47.00
815.94,47.98
815.94,48.99
815.94,49.99
815.94,51.00
815.94,51.99
815.94,52.95
815.94,53.96
815.94,54.93
815.94,55.72
815.94,56.70
815.94,57.66
815.94,58.62
815.94,59.58
815.94,60.54
815.94,61.49
815.94,62.48
815.94,63.43
815.94,64.37
815.94,65.30
815.94,66.27
815.94,67.20
815.94,68.15
815.94,69.10
815.94,69.92
815.94,70.87
815.94,71.84
815.94,72.78
815.94,73.73
815.94,74.68
815.94,75.61
-815.94,76.53
-815.94,77.32
-815.94,77.97
-815.94,78.50
-815.94,78.91
-815.94,79.07
-815.94,79.20
-815.94,79.31
-815.94,79.39
-815.94,79.44
-815.94,79.47
-815.94,79.47
-815.94,79.45
-815.94,79.41
-815.94,79.35
-815.94,79.26
-815.94,79.16
-815.94,79.04
-815.94,78.91
-815.94,78.75
-815.94,78.57
-815.94,78.37
-815.94,77.93
-815.94,77.42
-815.94,76.84
-815.94,76.22
-815.94,75.51
-815.94,74.77
-815.94,73.96
-815.94,73.09
