SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
256.12469,100.00,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00393,0.00004,0.012678,0.011648,1.005907
512.24939,100.00,0.01668,0.02342,0.01668,0.00000,0.00000,-0.00000,-0.00000,0.01000,-0.00000,0.00000,-0.004656,-0.002024,0.993700
758.35114,100.00,0.39207,0.77621,0.39207,0.00000,0.00000,-0.00000,-0.00001,0.01000,-0.00014,0.00000,0.022688,-0.003245,1.005663
800.78204,100.00,4.88840,6.20967,4.88840,-0.00157,-0.22440,0.00010,0.01643,0.00996,-0.00375,0.00804,0.027571,0.013113,1.014208
647.15479,100.00,6.32323,14.50706,6.32323,-0.00471,0.00000,0.00004,-0.01233,0.00975,-0.01272,-0.00804,0.024153,-0.043284,1.007128
312.90579,100.00,4.51302,22.24907,4.51302,-0.00942,-0.22440,0.00004,0.00440,0.00932,-0.01572,0.00804,0.128645,-0.067209,0.976366
-19.27227,100.00,2.42752,25.65502,2.42752,-0.01414,-0.22440,0.00019,0.01252,0.00901,-0.00715,-0.00000,-0.042986,-0.015452,1.035204
58.51734,100.00,-0.35036,25.95948,-0.35036,-0.01571,0.00000,0.00039,0.00151,0.00898,0.00154,-0.00804,-0.149919,0.011892,0.995653
289.77246,100.00,-0.78415,24.85204,-0.78415,-0.01571,0.00000,0.00046,0.00325,0.00905,0.00332,0.00000,-0.144304,-0.006663,1.017626
555.36890,100.00,0.08342,24.28662,0.08342,-0.01571,0.00000,0.00052,-0.00034,0.00912,-0.00034,0.00000,0.076155,0.009451,0.993456
800.78204,100.00,2.86130,26.78253,2.86130,-0.01571,0.00000,0.00036,-0.01231,0.00895,-0.01255,0.00000,-0.007830,0.010671,1.022020
615.66241,100.00,5.24711,35.28401,5.16369,-0.02199,-0.22440,0.00014,-0.00813,0.00832,-0.02696,0.00000,0.074690,-0.042307,0.976854
354.75003,100.00,2.76120,40.28922,2.76120,-0.02827,-0.22440,0.00018,0.00180,0.00768,-0.01754,-0.00804,0.040510,0.042410,0.872362
318.51572,100.00,0.30865,41.16914,0.30865,-0.03299,-0.44880,0.00043,0.03601,0.00752,-0.00203,-0.00804,-0.200212,0.005789,0.949267
525.23120,100.00,-0.81751,40.22230,-0.81751,-0.03456,0.00000,0.00067,0.00525,0.00763,0.00530,0.00000,-0.261736,0.017507,1.009325
722.69409,100.00,0.20855,40.15874,0.20855,-0.03456,0.00000,0.00070,-0.00132,0.00766,-0.00134,0.00000,0.078840,-0.026682,1.022265
776.02679,100.00,2.61104,43.22007,2.61104,-0.03613,0.00000,0.00047,-0.00323,0.00727,-0.02239,0.00804,0.046370,0.031423,0.968554
660.71594,100.00,3.87068,48.17509,3.87068,-0.03927,-0.22440,0.00013,-0.00935,0.00668,-0.02845,0.00000,0.110090,-0.012766,0.970263
449.72635,100.00,2.07715,51.76171,2.07715,-0.04398,-0.22440,0.00006,0.00267,0.00622,-0.01617,-0.00000,0.070295,0.045095,0.954149
471.95447,100.00,-0.25860,51.93234,-0.25860,-0.04869,-0.22440,0.00025,0.02068,0.00615,0.00204,0.00804,-0.023943,-0.016672,1.052782
680.34625,100.00,-1.11783,50.72119,-1.11783,-0.04869,0.00000,0.00053,0.00866,0.00629,0.00872,0.00000,-0.218767,0.012625,1.043993
789.17517,100.00,1.55995,51.87212,1.55995,-0.04869,0.00000,0.00043,-0.01218,0.00620,-0.01226,0.00000,0.104231,-0.027415,1.006151
700.42609,100.00,3.52866,55.72974,3.52866,-0.05341,-0.22440,0.00019,-0.01007,0.00569,-0.02877,0.00804,0.114973,0.037771,1.059862
521.64294,100.00,2.17726,60.03234,2.17726,-0.05655,-0.22440,-0.00011,-0.00026,0.00500,-0.01877,0.00804,0.067854,0.005056,0.979784
411.81134,100.00,-0.27529,60.62788,-0.27529,-0.05969,-0.22440,0.00005,0.02077,0.00490,0.00240,0.00804,-0.016863,-0.026438,1.015185
502.99167,100.00,-0.62565,59.85502,-0.62565,-0.06126,0.00000,0.00030,0.00540,0.00502,0.00542,0.00000,-0.165300,-0.017893,0.999315
662.94379,100.00,0.65068,60.00892,0.65068,-0.06283,0.00000,0.00041,-0.00561,0.00500,-0.00563,0.00000,-0.038103,-0.009836,1.033251
741.98529,100.00,2.26068,62.27398,2.26068,-0.06440,-0.22440,0.00022,-0.00162,0.00469,-0.01996,0.00804,0.048079,0.014578,1.033007
545.29553,100.00,2.57767,65.61970,2.57767,-0.06754,-0.22440,-0.00001,-0.00503,0.00420,-0.02329,0.00000,0.085188,0.043142,0.928270
503.08102,100.00,0.61731,66.78401,0.61731,-0.07069,0.00000,-0.00014,-0.00566,0.00394,-0.00567,-0.00804,0.034651,-0.001047,0.988573
613.00006,100.00,-0.45881,66.17844,-0.45881,-0.07226,-0.22440,0.00021,0.02234,0.00404,0.00420,0.00804,-0.138689,-0.042307,1.033495
723.98853,100.00,0.52555,66.40260,0.52555,-0.07226,0.00000,0.00018,-0.00481,0.00401,-0.00481,0.00000,-0.070085,-0.030588,1.034227
742.68298,100.00,2.09384,68.33643,2.09384,-0.07383,-0.22440,0.00000,-0.00135,0.00370,-0.01947,0.00804,0.064436,-0.007395,0.977831
652.08087,100.00,2.59436,72.50186,2.41918,-0.07854,-0.22440,-0.00025,-0.00502,0.00308,-0.02303,-0.00000,0.077376,0.043630,0.960985
478.33020,100.00,-0.38373,73.15762,-0.38373,-0.08168,0.00000,-0.00017,0.00367,0.00290,0.00367,-0.00804,-0.031755,-0.003489,0.975145
601.77740,100.00,-0.61731,72.29777,-0.61731,-0.08325,0.00000,0.00009,0.00589,0.00304,0.00589,0.00000,-0.195574,-0.034250,0.992479
689.82550,100.00,0.73409,72.76952,0.73409,-0.08325,0.00000,0.00002,-0.00701,0.00296,-0.00701,0.00000,0.020247,-0.047678,1.051806
682.97479,100.00,1.49322,74.27844,1.49322,-0.08482,-0.22440,-0.00010,0.00355,0.00272,-0.01435,0.00804,0.014876,0.011892,0.992235
614.52203,100.00,1.35974,76.45316,1.35974,-0.08639,0.00000,-0.00029,-0.01319,0.00241,-0.01318,-0.00804,0.085676,0.042166,0.956347
559.56659,100.00,-0.19187,76.83792,-0.19187,-0.08796,0.00000,-0.00030,0.00187,0.00227,0.00187,0.00000,-0.046160,0.006765,0.974169
666.07617,100.00,0.00000,76.78773,0.00000,-0.08954,0.00000,-0.00016,0.00000,0.00229,0.00000,-0.00804,-0.096941,-0.025950,1.025927
716.05029,100.00,0.12513,76.96840,0.12513,-0.08954,0.00000,-0.00018,-0.00122,0.00226,-0.00122,0.00000,0.008772,-0.027170,1.017870
724.83289,100.00,1.10114,78.23309,1.10114,-0.08954,0.00000,-0.00032,-0.01076,0.00213,-0.01551,0.00804,0.030256,0.018972,0.970995
624.10065,100.00,1.89363,81.04349,1.89363,-0.09268,-0.22440,-0.00058,-0.00092,0.00161,-0.01867,0.00804,0.106428,0.033132,0.990038
516.90863,100.00,0.47549,82.01041,0.47549,-0.09739,-0.22440,-0.00056,0.01300,0.00139,-0.00471,0.00804,0.036116,0.000417,1.007128
582.82861,100.00,0.00000,81.93680,0.00000,-0.09896,0.00000,-0.00042,0.00000,0.00141,0.00000,0.00000,-0.164568,-0.012278,1.023241
624.12427,100.00,0.07508,82.03383,0.07508,-0.09896,0.00000,-0.00031,-0.00074,0.00139,-0.00074,0.00000,0.013411,-0.033762,1.036181
659.45435,100.00,0.12513,82.21784,0.12513,-0.09896,0.00000,-0.00034,-0.00124,0.00136,-0.00091,0.00000,0.023420,0.038015,0.931200
696.54370,100.00,0.05005,82.28141,0.05005,-0.09896,0.00000,-0.00036,-0.00074,0.00134,-0.00074,0.00000,0.009016,0.019216,1.023974
736.51404,100.00,0.55057,82.45539,0.55057,-0.09896,0.00000,-0.00037,0.00248,0.00133,0.00248,0.00000,-0.014177,-0.032053,1.031298
639.49323,100.00,2.32741,84.97807,2.32741,-0.10053,-0.22440,-0.00061,-0.00561,0.00097,-0.02323,0.00804,0.087629,-0.014719,1.005663
462.19168,100.00,2.20228,87.99257,2.20228,-0.10524,-0.22440,-0.00087,0.00055,0.00034,-0.01700,-0.00000,0.076155,0.023367,0.996386
424.50592,100.00,-0.33368,88.16320,-0.33368,-0.10681,0.00000,-0.00077,0.00334,0.00032,0.00334,-0.00804,-0.014910,0.011160,1.048144
499.28476,100.00,-0.86757,87.09926,-0.86757,-0.10838,-0.22440,-0.00050,0.02619,0.00047,0.00867,0.00804,-0.151384,-0.013987,1.030077
604.00708,100.00,-0.12513,86.73123,-0.12513,-0.10681,0.00000,-0.00051,0.00125,0.00058,0.00125,-0.00804,0.040510,-0.030588,1.005175
640.42346,100.00,0.75078,87.33011,0.75078,-0.10838,0.00000,-0.00049,-0.00750,0.00047,-0.00750,-0.00804,0.017561,0.025564,0.972460
