CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,0.00,0.00,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.00,0.21,-0.56
100,800.78,147.86,0.00,8.03,0.00,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00395,0.00004,0.04,-0.00,9.87
100,800.78,88.92,3.87,31.33,3.87,-0.00314,0.00000,-0.00013,-0.00310,0.00986,-0.00322,-0.00231,0.56,0.61,9.95
100,800.78,59.46,9.90,60.01,9.90,-0.01257,-0.10710,-0.00126,-0.02569,0.00827,-0.03626,0.00061,1.23,1.36,10.23
100,-800.78,44.72,11.46,85.60,11.46,-0.03299,-0.21420,-0.00411,-0.06472,0.00453,-0.08487,0.00077,4.28,-0.98,11.84
100,-800.78,97.37,9.70,79.79,9.70,-0.05812,-0.47489,-0.00635,-0.05323,0.00056,-0.09465,0.00122,2.90,0.12,6.43
100,800.78,63.68,-3.72,62.66,-3.72,-0.05027,-0.59840,-0.00274,0.08595,0.00211,0.03690,0.00089,-2.71,0.15,7.92
100,800.78,46.84,-6.45,67.62,-6.45,-0.04084,0.26180,-0.00113,0.03833,0.00463,0.06001,-0.00201,-3.91,-1.86,15.30
100,-800.78,38.41,2.49,72.33,2.49,-0.05027,0.18700,-0.00272,-0.03793,0.00368,-0.02262,-0.00045,6.64,1.04,5.23
100,800.78,34.20,1.28,54.68,1.28,-0.03927,-0.26180,-0.00232,0.00960,0.00317,-0.01204,0.00045,-1.01,-1.20,10.12
100,800.78,92.11,-7.56,52.60,-7.56,-0.02356,0.33660,-0.00074,0.03755,0.00594,0.06586,0.00045,-5.99,0.70,9.49
100,800.78,61.05,-0.18,64.16,-0.18,-0.03142,0.33660,-0.00187,-0.02689,0.00600,0.00143,0.00000,8.58,-0.15,7.52
100,599.98,105.53,5.08,70.70,5.08,-0.04712,-0.22440,-0.00289,-0.02427,0.00416,-0.04364,-0.00067,0.48,-0.83,10.07
100,800.78,127.77,2.26,76.47,2.26,-0.05655,-0.38312,-0.00244,0.01089,0.00330,-0.02098,0.00097,-0.68,0.04,11.76
100,800.78,138.89,2.80,89.91,2.80,-0.06440,-0.21918,-0.00278,-0.00786,0.00219,-0.02589,-0.00096,0.78,0.26,11.71
100,-800.78,84.44,5.89,104.72,5.89,-0.07854,-0.14960,-0.00467,-0.04500,-0.00021,-0.05720,-0.00042,0.68,-0.45,11.31
100,-800.78,57.22,5.86,93.39,5.86,-0.09268,-0.37400,-0.00579,-0.02669,-0.00260,-0.05676,0.00143,0.65,-0.45,9.88
100,800.78,103.61,-5.62,76.44,-5.62,-0.06754,-0.24990,-0.00247,0.07544,-0.00015,0.05557,-0.00076,-7.44,-0.04,3.51
100,800.78,138.41,-6.04,81.84,-6.04,-0.05655,0.59840,-0.00197,0.01188,0.00236,0.05979,0.00208,-1.90,-1.53,14.26
100,800.78,84.20,2.60,94.25,2.60,-0.07226,0.22440,-0.00381,-0.04370,0.00129,-0.02552,-0.00223,4.28,0.34,7.97
100,800.78,57.10,5.32,110.00,5.32,-0.09425,-0.41140,-0.00464,-0.01985,-0.00094,-0.05314,0.00112,0.13,-1.14,7.56
100,-800.78,43.54,6.63,111.77,6.63,-0.11781,-0.51142,-0.00560,-0.02228,-0.00366,-0.06311,0.00058,0.22,-0.45,10.35
100,-800.78,36.77,-0.29,87.73,-0.29,-0.10210,-0.56100,-0.00360,0.04757,-0.00351,0.00361,0.00030,-2.29,0.63,9.87
100,800.78,33.38,-10.22,59.94,-10.22,-0.03927,0.51222,-0.00085,0.05978,0.00110,0.10004,-0.00027,-4.57,0.23,12.50
100,800.78,31.69,-10.40,57.78,-10.40,-0.00628,1.49600,-0.00187,-0.02416,0.00520,0.09762,0.00587,3.18,-0.07,12.68
100,444.50,90.85,-0.13,61.29,-0.13,-0.01885,0.63580,-0.00410,-0.05308,0.00523,0.00070,-0.00514,8.54,1.99,7.10
100,600.71,60.42,1.08,64.78,1.08,-0.03613,-0.33660,-0.00328,0.01939,0.00483,-0.00935,-0.00179,0.67,-0.47,7.46
100,800.78,105.22,1.85,67.87,1.85,-0.04712,-0.44880,-0.00239,0.02119,0.00414,-0.01656,0.00067,-0.44,-0.41,10.35
100,14.62,67.60,1.08,75.06,1.08,-0.05184,-0.18700,-0.00216,0.00557,0.00372,-0.00996,-0.00156,-2.21,0.06,12.60
100,800.78,108.81,3.32,75.14,3.32,-0.05655,-0.11220,-0.00304,-0.02089,0.00245,-0.03024,-0.00045,1.13,-0.30,8.81
100,-168.89,69.40,-0.17,81.64,-0.17,-0.06126,-0.11220,-0.00258,0.01078,0.00252,0.00162,0.00000,-1.62,0.11,8.88
100,-213.42,49.70,2.77,74.14,2.77,-0.06126,-0.11220,-0.00334,-0.01796,0.00138,-0.02715,-0.00000,0.76,0.06,8.81
100,358.04,39.84,-3.97,65.36,-3.97,-0.04398,0.03831,-0.00188,0.03554,0.00296,0.03874,-0.00045,-3.21,-0.64,9.71
100,800.78,94.93,-3.08,67.97,-3.08,-0.04241,0.37400,-0.00197,-0.00219,0.00417,0.02939,0.00201,2.81,0.16,10.23
100,800.78,122.47,1.31,79.63,1.31,-0.05812,0.00000,-0.00249,-0.01225,0.00365,-0.01233,-0.00223,1.31,0.04,11.69
100,-800.78,113.12,5.07,87.35,5.07,-0.07540,-0.33660,-0.00337,-0.02106,0.00160,-0.04884,0.00201,0.55,0.01,10.45
100,800.78,71.56,2.60,82.47,2.60,-0.07226,-0.41140,-0.00301,0.00861,0.00057,-0.02465,0.00045,-1.54,-0.13,12.28
100,-800.78,50.78,-1.63,90.03,-1.63,-0.07540,0.07480,-0.00258,0.01017,0.00125,0.01618,-0.00201,1.05,0.33,12.84
100,563.29,100.39,3.02,76.20,3.02,-0.06912,-0.07662,-0.00356,-0.02392,0.00001,-0.03009,0.00000,0.59,-0.13,11.83
100,800.78,65.19,-6.10,70.66,-6.10,-0.04712,0.17850,-0.00154,0.04692,0.00266,0.06167,0.00063,-4.43,0.08,11.49
