CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,679.09,90.00,620.29,-0.12095,20.03
100,-810.79,150.00,629.29,-0.10367,0.83
100,-810.79,129.12,630.73,-0.09425,3.18
100,-810.79,59.32,627.88,-0.08796,8.23
100,-810.79,101.40,622.79,-0.08796,9.35
100,-810.79,88.09,616.04,-0.09425,3.83
100,-810.79,69.32,607.91,-0.10681,1.12
100,-810.79,77.50,598.88,-0.12252,2.27
100,-810.79,90.59,588.47,-0.14765,-0.24
100,-810.79,91.25,576.10,-0.17279,-6.80
100,-810.79,93.41,561.81,-0.18692,-22.71
100,-810.79,103.38,546.29,-0.19478,-24.74
100,-810.79,114.45,531.00,-0.19635,-4.06
100,-810.79,150.00,514.83,-0.18850,-15.88
100,-810.79,122.79,495.16,-0.16179,-1.45
100,-810.79,115.05,472.79,-0.10996,-22.65
100,-810.79,136.49,444.58,-0.03456,-12.13
100,-810.79,134.15,394.79,0.03456,19.17
100,-810.79,35.51,353.62,0.02827,8.28
100,-810.79,39.76,337.36,0.01571,-9.01
100,-810.79,69.78,321.51,-0.00314,18.08
100,-810.79,95.96,306.75,-0.02670,4.71
100,-810.79,66.51,293.02,-0.05184,0.07
100,-810.79,64.08,280.08,-0.08011,2.18
100,-810.79,83.07,267.51,-0.10838,-1.21
100,-810.79,84.60,254.73,-0.13823,-1.46
100,-810.79,87.76,241.26,-0.16808,-2.13
100,-810.79,91.46,226.59,-0.18692,-6.36
100,-810.79,92.77,210.38,-0.19321,-19.65
100,-810.79,103.81,195.07,-0.18535,-19.82
100,-810.79,130.92,177.45,-0.16808,-7.92
100,-810.79,117.80,155.45,-0.13823,4.54
100,-810.79,101.16,129.14,-0.09582,6.27
100,-810.79,68.90,98.98,-0.03613,-4.68
100,-810.79,90.37,47.50,0.00628,6.85
100,-810.79,76.27,20.78,0.00628,19.17
100,-810.79,40.66,4.60,0.00471,0.77
100,-810.79,39.63,-11.22,-0.01571,18.22
100,-810.79,63.17,-26.13,-0.03613,3.70
100,-810.79,55.84,-39.92,-0.06126,6.16
100,-810.79,62.20,-53.19,-0.08796,5.37
100,-810.79,67.44,-66.19,-0.11624,-5.24
100,-810.79,72.45,-79.51,-0.14294,-2.96
100,-810.79,88.70,-93.47,-0.16650,-1.31
100,-810.79,93.07,-108.46,-0.18378,-2.90
100,-810.79,83.43,-124.66,-0.18692,-15.03
100,-810.79,91.52,-140.00,-0.17593,-9.57
100,-810.79,110.53,-158.47,-0.15237,-23.78
100,-810.79,117.02,-182.77,-0.11153,-6.80
100,-810.79,108.51,-218.62,-0.04712,-27.03
100,-810.79,150.00,-286.25,-0.00157,11.25
100,-810.79,43.42,-316.63,-0.02513,11.25
100,-810.79,47.53,-334.12,-0.05184,3.89
100,-810.79,54.94,-349.55,-0.07854,-7.46
100,-810.79,69.09,-365.13,-0.10367,0.10
100,-810.79,89.41,-381.42,-0.12409,8.80
100,-810.79,60.11,-396.35,-0.13666,4.53
100,-810.79,53.31,-411.16,-0.14608,6.87
100,810.79,61.68,-425.80,-0.16022,3.68
100,810.79,64.43,-433.57,-0.17436,-4.30
100,810.79,71.46,-433.44,-0.18378,-5.99
100,810.79,88.47,-427.88,-0.18378,-8.27
100,810.79,100.45,-418.22,-0.17750,-8.04
100,810.79,106.35,-404.90,-0.16493,-3.30
100,810.79,106.06,-389.67,-0.14765,4.38
100,810.79,99.39,-374.40,-0.12723,3.86
100,810.79,78.32,-358.55,-0.09896,-21.35
100,810.79,83.97,-340.64,-0.06126,-0.90
100,810.79,119.58,-316.32,-0.01885,-15.89
100,810.79,123.17,-277.20,0.00314,19.17
100,810.79,67.18,-249.29,-0.00157,19.17
100,810.79,34.55,-232.66,-0.01100,18.26
100,810.79,36.07,-217.12,-0.02199,-8.11
100,810.79,50.58,-202.08,-0.03613,3.39
100,810.79,88.49,-188.51,-0.05341,8.09
100,810.79,90.11,-176.20,-0.07069,9.34
100,810.79,70.29,-164.53,-0.09111,5.68
100,810.79,61.64,-152.99,-0.11310,-1.06
100,810.79,72.64,-141.07,-0.13509,2.92
100,810.79,87.79,-128.34,-0.15865,-2.81
100,810.79,87.81,-114.39,-0.17907,-7.78
100,810.79,94.02,-99.12,-0.18535,-6.97
100,810.79,111.76,-83.21,-0.18064,-14.87
100,810.79,113.87,-67.93,-0.16650,2.59
100,810.79,118.35,-52.25,-0.13823,-15.16
100,810.79,103.97,-33.19,-0.09582,-4.03
100,810.79,113.84,-10.00,-0.05027,-7.41
100,810.79,108.18,32.86,-0.00314,19.17
100,810.79,40.31,74.45,-0.00314,4.31
100,810.79,45.50,92.72,-0.00942,0.01
100,810.79,95.28,107.55,-0.01728,12.29
100,810.79,91.70,122.87,-0.02670,1.21
100,810.79,71.50,136.88,-0.04084,-2.47
100,810.79,81.00,149.42,-0.05655,1.99
100,810.79,97.45,160.89,-0.07697,1.56
100,810.79,94.46,171.36,-0.09582,-2.72
100,810.79,90.64,181.97,-0.11781,3.41
100,810.79,95.69,193.71,-0.14137,1.45
100,810.79,91.06,206.42,-0.16336,2.69
100,810.79,87.03,220.47,-0.18378,-0.30
100,810.79,89.42,235.91,-0.18850,-11.28
