SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,10.09
-600.00,90.00,0.00,0.00,0.00000,10.09
-600.00,90.00,-0.00,0.00,0.00000,10.09
-600.00,90.00,-0.02,-0.00,0.00000,-0.03
-600.00,90.00,-0.06,-0.00,0.00000,-0.03
-600.00,90.00,-0.12,-0.00,0.00000,-0.03
-600.00,90.00,-0.20,-0.00,0.00000,-0.03
-600.00,90.00,-0.30,-0.00,0.00000,-0.03
-600.00,90.00,-0.42,-0.00,0.00000,-0.03
-600.00,90.00,-0.56,-0.00,0.00000,-0.03
-600.00,90.00,-0.71,-0.00,0.00000,-0.03
-600.00,90.00,-0.87,-0.00,0.00000,-0.03
-600.00,90.00,-1.05,-0.00,0.00000,-0.03
-600.00,90.00,-1.23,-0.00,0.00000,-0.03
-600.00,90.00,-1.43,-1.06,0.00000,0.02
-600.00,90.00,-1.65,-1.06,0.00000,0.02
-600.00,90.00,-1.87,-1.06,0.00000,0.02
-600.00,90.00,-2.12,-1.06,0.00000,0.02
-600.00,90.00,-2.38,-1.06,0.00000,0.02
-600.00,90.00,-2.64,-1.06,0.00000,0.02
-600.00,90.00,-2.90,-1.06,0.00000,0.02
-600.00,90.00,-3.18,-1.06,0.00000,0.02
-600.00,90.00,-3.48,-1.06,0.00000,0.02
-600.00,90.00,-3.78,-1.06,0.00000,0.02
-600.00,90.00,-4.09,-1.06,0.00000,0.02
-600.00,90.00,-4.40,-2.29,0.00000,0.01
-600.00,90.00,-4.73,-2.29,0.00000,0.01
-600.00,90.00,-5.07,-2.29,0.00000,0.01
-600.00,90.00,-5.41,-2.29,0.00000,0.01
-600.00,90.00,-5.75,-2.29,0.00000,0.01
-600.00,90.00,-6.10,-2.29,0.00000,0.01
-600.00,90.00,-6.46,-2.29,0.00000,0.01
-600.00,90.00,-6.83,-2.29,0.00000,0.01
-600.00,90.00,-7.19,-2.29,0.00000,0.01
-600.00,90.00,-7.57,-2.29,0.00000,0.01
-600.00,90.00,-7.95,-2.29,0.00000,0.01
-600.00,90.00,-8.32,-3.08,0.00000,-0.03
-600.00,90.00,-8.70,-3.08,0.00000,-0.03
-600.00,90.00,-9.09,-3.08,0.00000,-0.03
-600.00,90.00,-9.49,-3.08,0.00000,-0.03
-600.00,90.00,-9.87,-3.08,0.00000,-0.03
-600.00,90.00,-10.27,-3.08,0.00000,-0.03
-600.00,90.00,-10.68,-3.08,0.00000,-0.03
-600.00,90.00,-11.08,-3.08,0.00000,-0.03
-600.00,90.00,-11.49,-3.08,0.00000,-0.03
-600.00,90.00,-11.89,-3.08,0.00000,-0.03
-600.00,90.00,-12.30,-3.08,0.00000,-0.03
-600.00,90.00,-12.72,-3.46,0.00000,0.05
-600.00,90.00,-13.13,-3.46,0.00000,0.05
-600.00,90.00,-13.54,-3.46,0.00000,0.05
-600.00,90.00,-13.97,-3.46,0.00000,0.05
-600.00,90.00,-14.38,-3.46,0.00000,0.05
600.00,90.00,-14.79,-3.46,0.00000,0.05
600.00,90.00,-15.18,-3.46,0.00000,0.05
600.00,90.00,-15.51,-3.46,0.00000,0.05
600.00,90.00,-15.80,-3.46,0.00000,0.05
600.00,90.00,-16.05,-3.46,0.00000,0.05
600.00,90.00,-16.26,-3.46,0.00000,0.05
600.00,90.00,-16.42,-3.08,0.00000,0.21
600.00,90.00,-16.55,-3.08,0.00000,0.21
600.00,90.00,-16.65,-3.08,0.00000,0.21
600.00,90.00,-16.71,-3.08,0.00000,0.21
600.00,90.00,-16.74,-3.08,0.00000,0.21
600.00,90.00,-16.75,-3.08,0.00000,0.21
600.00,90.00,-16.73,-3.08,0.00000,0.21
600.00,90.00,-16.68,-3.08,0.00000,0.21
600.00,90.00,-16.61,-3.08,0.00000,0.21
600.00,90.00,-16.52,-3.08,0.00000,0.21
600.00,90.00,-16.41,-3.08,0.00000,0.21
600.00,90.00,-16.28,-0.06,0.00000,0.18
600.00,90.00,-16.13,-0.06,0.00000,0.18
600.00,90.00,-15.96,-0.06,0.00000,0.18
600.00,90.00,-15.76,-0.06,0.00000,0.18
600.00,90.00,-15.55,-0.06,0.00000,0.18
