SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
815.94,90.00,89.85,0.00,-6.30000,0.00000,10.09
815.94,119.71,90.46,0.39,-0.09000,17.87440,0.06
815.94,119.71,92.89,1.49,-0.09000,17.87440,0.38
815.94,119.71,96.41,3.37,-0.18000,17.82280,0.16
815.94,119.71,100.14,4.31,-0.36000,17.82280,0.60
815.94,119.71,104.63,4.31,-0.45000,1.50000,0.60
815.94,119.71,109.59,4.81,-0.63000,17.53040,0.53
815.94,119.71,114.62,5.59,-0.99000,17.54760,0.45
-815.94,119.71,120.00,5.89,-1.26000,18.16680,1.94
-815.94,120.86,120.55,2.84,-1.62000,18.16680,-0.57
815.94,120.86,117.17,2.84,-1.89000,17.87440,-0.57
815.94,120.86,116.44,-3.15,-2.16000,18.52800,-0.64
815.94,120.86,118.07,0.15,-2.34000,18.52800,-1.47
-815.94,120.86,121.26,2.80,-2.43000,18.47640,-0.76
-815.94,120.86,121.43,1.60,-2.52000,18.47640,-0.41
815.94,120.86,119.36,1.60,-2.52000,1.50000,-0.41
815.94,120.86,120.04,-1.99,-2.52000,18.20120,-0.46
-815.94,89.43,121.54,1.42,-2.52000,18.20120,-0.03
-815.94,89.43,119.11,-0.44,-2.52000,18.23560,0.35
-815.94,89.43,113.53,-5.33,-2.34000,18.23560,-0.22
-815.94,89.43,105.35,-5.33,-1.80000,1.50000,-0.22
-815.94,89.43,115.91,-5.33,0.45000,1.50000,-0.22
-815.94,65.85,126.76,-5.33,3.06000,1.50000,-0.22
-815.94,65.85,119.30,0.52,0.90000,17.23800,2.60
-815.94,65.85,111.11,0.52,0.00000,17.23800,2.60
-815.94,65.85,100.74,-8.46,-1.08000,17.90880,-3.70
-815.94,93.93,89.62,-8.20,-2.34000,18.83760,-3.72
-815.94,93.93,81.02,-8.65,-3.24000,18.83760,-5.08
-815.94,66.98,73.73,-8.65,3.87000,1.50000,-5.08
-815.94,62.49,74.18,-0.11,0.81000,17.18640,0.08
-815.94,62.49,65.07,-8.64,-0.09000,17.15200,-0.77
-815.94,62.49,58.17,-8.64,-1.17000,17.15200,-0.77
-815.94,62.49,49.65,-6.75,-2.25000,17.89160,1.69
-815.94,62.49,41.66,-6.75,-3.42000,17.89160,1.69
-815.94,74.56,46.81,0.05,2.52000,15.63840,-4.17
-815.94,74.56,39.16,-6.23,0.99000,17.18640,-1.82
-815.94,98.28,30.88,-8.49,0.18000,17.16920,-2.79
-815.94,98.28,21.19,-6.98,-1.17000,17.58200,-1.85
815.94,98.28,11.45,-7.66,-2.43000,18.83760,2.11
815.94,98.28,8.60,-6.89,-3.24000,17.87440,0.08
815.94,98.28,10.10,0.46,-3.24000,17.87440,-4.50
815.94,98.28,14.60,0.46,-3.15000,1.50000,-4.50
815.94,98.28,21.14,4.80,-2.88000,18.83760,-4.39
815.94,110.15,28.55,6.73,-2.07000,19.11280,-1.80
815.94,110.15,17.59,6.73,0.63000,19.11280,-1.80
815.94,116.08,-31.65,6.73,5.22000,19.11280,-1.80
815.94,87.04,-27.56,-3.62,3.96000,15.77600,1.86
815.94,87.04,-20.78,8.25,3.42000,15.77600,0.74
815.94,87.04,-13.19,8.25,2.61000,77.83360,0.74
815.94,87.04,-0.74,7.41,1.44000,17.49600,0.96
815.94,87.04,5.54,6.94,0.81000,17.92600,1.42
815.94,87.04,11.82,6.66,0.09000,17.92600,-0.81
815.94,72.52,20.43,6.66,-0.72000,1.50000,-0.81
815.94,72.52,26.92,7.02,-1.53000,17.54760,-0.04
815.94,72.52,33.99,7.02,-2.16000,17.54760,-0.04
815.94,72.52,39.91,7.22,-2.88000,18.52800,-0.45
815.94,72.52,45.03,6.40,-3.51000,19.19880,0.11
815.94,72.52,49.04,5.04,-4.05000,18.51080,-1.43
815.94,72.52,51.93,3.76,-4.32000,18.51080,-2.68
815.94,72.52,51.95,3.76,-4.77000,5.38720,-2.68
815.94,72.52,51.95,0.15,-4.77000,19.16440,-3.53
815.94,97.26,51.95,0.00,-4.77000,19.16440,0.37
815.94,97.26,51.95,0.00,-4.77000,19.16440,0.15
815.94,97.26,51.95,0.00,-4.77000,19.16440,0.15
815.94,97.26,51.95,0.00,-4.77000,19.16440,0.15
815.94,97.26,51.95,0.00,-4.77000,19.16440,-0.17
815.94,97.26,51.95,0.00,-4.77000,19.16440,-0.08
815.94,97.26,51.95,0.00,-4.77000,19.16440,0.08
