CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,815.94,90.00,89.34,0.00,-0.81000,0.00000,10.08
100,815.94,150.34,90.15,0.39,0.00000,18.52800,0.15
100,815.94,150.34,92.52,1.62,0.00000,18.57960,-0.08
100,815.94,150.34,95.89,3.44,0.00000,18.51080,0.03
100,815.94,150.34,100.01,3.44,0.00000,18.51080,0.03
100,815.94,150.34,105.05,4.79,-0.09000,18.52800,0.18
100,815.94,150.34,110.25,5.81,-0.09000,18.47640,0.20
100,815.94,150.34,116.12,6.56,-0.09000,18.52800,0.57
100,815.94,150.34,122.63,7.18,-0.18000,18.52800,-0.06
100,815.94,150.34,129.75,7.18,-0.18000,42.72840,-0.06
100,815.94,150.34,137.07,7.54,-0.36000,18.56240,0.05
100,815.94,150.34,145.06,8.54,-0.45000,18.21840,1.65
100,815.94,152.68,153.38,8.91,-0.63000,19.19880,-0.16
100,815.94,152.68,162.37,9.69,-0.81000,19.19880,-0.23
100,-815.94,152.68,171.53,9.69,-0.90000,1.50000,-0.23
100,-815.94,152.68,175.38,9.49,-1.26000,18.85480,-1.29
100,-815.94,152.68,174.19,2.56,-1.44000,19.49120,-0.27
100,-815.94,152.68,169.84,-3.51,-1.62000,19.45680,-0.85
100,-815.94,152.68,162.42,-7.47,-1.89000,19.45680,-0.65
100,-815.94,152.68,152.78,-7.47,-2.07000,6.52240,-0.65
100,815.94,152.68,144.08,-10.28,-2.25000,18.83760,-2.00
100,815.94,152.68,140.62,-7.77,-2.25000,19.81800,-2.32
100,815.94,152.68,140.71,-1.58,-2.43000,19.81800,-0.36
100,815.94,88.84,142.99,-1.58,-2.43000,19.81800,-0.36
100,-815.94,88.84,145.98,2.41,-2.52000,19.74920,-0.46
100,-815.94,88.84,144.45,2.60,-2.61000,19.78360,0.08
100,-815.94,88.84,139.45,-3.59,-2.61000,19.56000,-0.55
100,-815.94,88.84,131.29,-7.98,-2.61000,19.56000,0.83
100,-815.94,88.84,120.42,-7.98,-2.61000,1.50000,0.83
100,-815.94,88.84,107.65,-11.40,-2.52000,19.50840,3.07
100,815.94,88.84,94.74,-12.27,-2.34000,19.50840,4.84
100,815.94,88.84,83.82,-12.60,-2.16000,19.76640,-4.17
100,815.94,88.84,78.87,-8.47,-2.16000,18.83760,-2.48
100,815.94,56.91,78.05,-1.91,-2.16000,18.83760,6.37
100,815.94,56.91,79.72,-1.91,-2.16000,18.85480,6.37
100,815.94,56.91,82.84,1.98,-2.25000,18.85480,1.18
100,-815.94,56.91,86.97,4.04,-2.25000,18.83760,-0.90
100,-815.94,56.91,87.42,3.01,-2.25000,19.80080,-1.03
100,-815.94,56.91,83.83,3.01,-2.25000,19.80080,-1.03
100,-815.94,56.91,76.70,-3.57,-2.25000,18.85480,0.32
100,270.05,56.91,66.82,-8.85,-2.07000,18.88920,0.13
100,815.94,56.91,58.89,-10.72,-1.62000,18.85480,-6.67
100,815.94,56.91,56.48,-5.43,-1.26000,19.47400,-4.32
100,815.94,56.91,56.61,-0.38,-1.08000,19.47400,2.12
100,815.94,40.95,58.41,-0.38,-0.90000,18.85480,2.12
100,815.94,40.95,61.53,2.11,-0.90000,18.88920,5.66
100,-815.94,40.95,63.94,4.02,-0.90000,18.90640,1.94
100,-815.94,40.95,61.77,-0.32,-0.99000,18.80320,-1.82
100,-815.94,40.95,56.43,-0.32,-0.99000,18.80320,-1.82
100,815.94,40.95,48.34,-5.73,-0.72000,18.87200,-0.38
100,815.94,40.95,43.05,-9.08,-0.54000,18.85480,-2.26
100,815.94,40.95,42.17,-3.57,-0.18000,18.20120,-1.21
100,815.94,40.95,43.91,1.20,-0.18000,18.20120,1.77
100,815.94,40.95,47.57,1.20,-0.18000,1.89560,1.77
100,-815.94,40.95,49.81,4.24,-0.18000,18.52800,3.30
100,-815.94,40.95,47.31,0.79,-0.27000,19.49120,-0.52
100,815.94,97.98,42.99,-4.73,-0.18000,19.43960,-0.87
100,815.94,97.98,42.17,-4.73,-0.18000,19.43960,-0.87
100,815.94,97.98,43.99,-1.76,-0.18000,18.52800,0.67
100,815.94,97.98,47.82,2.53,-0.27000,18.51080,0.44
100,815.94,97.98,53.05,5.18,-0.27000,19.49120,0.33
100,815.94,97.98,59.39,6.87,-0.36000,19.49120,-0.92
100,815.94,97.98,66.82,6.87,-0.27000,43.65720,-0.92
