CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.47,0.00,-6.21000,0.00000,10.05
100,-815.94,84.38,89.79,0.40,0.00000,5.88600,0.52
100,-815.94,81.61,88.86,-1.39,0.00000,6.21280,-0.00
100,815.94,83.77,87.11,-1.09,0.09000,6.21280,-1.46
100,815.94,84.92,86.74,-1.09,0.18000,6.21280,-1.46
100,-815.94,84.92,86.91,-0.88,0.27000,6.21280,-1.30
100,200.00,86.85,86.00,-0.34,0.36000,5.90320,1.14
100,815.94,85.69,86.50,-0.38,0.36000,5.88600,0.58
100,-815.94,84.06,86.77,0.93,0.36000,5.90320,0.92
100,815.94,84.06,85.64,0.93,0.27000,5.90320,0.92
100,-815.94,83.92,86.34,-1.18,0.27000,6.21280,-1.21
100,200.00,85.40,85.22,0.20,0.27000,6.21280,-0.47
100,815.94,87.01,84.73,-1.27,0.27000,6.21280,-1.04
100,815.94,88.06,86.21,1.10,0.27000,6.21280,1.11
100,-815.94,88.06,86.62,1.10,0.18000,5.88600,1.11
100,815.94,87.27,85.97,0.30,0.18000,6.21280,-0.92
100,-815.94,86.66,87.30,0.02,0.00000,6.23000,0.03
100,200.00,87.92,87.21,0.89,-0.09000,6.23000,-0.21
100,815.94,91.01,86.70,-0.55,-0.18000,6.23000,-2.26
100,-815.94,91.01,87.89,-0.55,-0.18000,6.23000,-2.26
100,815.94,94.45,88.18,1.19,-0.18000,6.21280,-1.93
100,-815.94,95.63,90.05,0.72,-0.27000,6.21280,-0.91
100,815.94,94.67,89.97,1.10,-0.36000,5.88600,0.72
100,439.94,94.67,91.43,1.18,-0.36000,5.88600,1.20
100,815.94,92.98,91.16,1.18,-0.54000,5.90320,1.20
100,815.94,94.57,91.49,-0.20,-0.54000,6.21280,-1.18
100,-815.94,95.20,92.93,1.14,-0.72000,6.23000,0.25
100,815.94,95.60,92.34,0.08,-0.63000,6.21280,-1.28
100,-815.94,95.60,93.87,1.35,-0.72000,6.21280,-0.21
100,815.94,96.69,93.33,1.35,-0.72000,5.90320,-0.21
100,-457.15,95.90,94.52,-0.36,-0.81000,6.21280,0.07
100,815.94,95.41,94.19,1.49,-0.81000,6.21280,0.18
100,815.94,94.21,94.24,-0.86,-0.72000,5.88600,0.91
100,-815.94,94.21,95.33,1.30,-0.81000,5.88600,0.98
100,815.94,92.20,93.44,1.30,-0.72000,5.88600,0.98
100,815.94,90.90,93.74,-1.93,-0.72000,5.88600,0.81
