CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.57,0.00,-2.43000,0.00000,10.07
100,-802.81,84.36,90.94,0.40,0.00000,17.56480,-0.14
100,815.94,82.35,89.51,0.29,0.00000,17.54760,0.06
100,815.94,84.69,88.85,-1.87,0.00000,17.54760,0.04
100,-815.94,83.49,88.87,-1.87,0.00000,17.54760,0.04
100,815.94,83.49,87.94,0.00,0.00000,17.56480,0.14
100,-593.62,82.99,87.53,-0.52,0.00000,17.56480,0.29
100,815.94,83.10,86.78,-1.40,-0.09000,17.54760,-0.33
100,-815.94,83.37,86.88,0.41,-0.09000,17.54760,0.46
100,815.94,83.37,85.63,0.41,-0.09000,3.83920,0.46
100,-815.94,83.31,86.42,-1.25,-0.09000,17.58200,-0.24
100,815.94,83.45,85.20,0.15,-0.09000,17.56480,0.11
100,-815.94,83.97,85.94,-0.18,-0.09000,17.51320,0.48
100,815.94,83.39,84.84,-0.18,-0.09000,17.51320,0.48
100,-812.28,83.39,85.40,-0.74,-0.09000,17.56480,-0.72
100,815.94,84.43,84.60,0.61,-0.09000,17.54760,0.14
100,815.94,85.20,84.40,-1.09,-0.09000,17.54760,0.08
100,200.00,84.76,85.37,0.90,-0.09000,17.54760,0.05
100,200.00,85.17,85.29,0.90,-0.09000,5.37000,0.05
100,200.00,85.17,84.61,-0.05,-0.09000,17.56480,-0.13
100,815.94,85.72,84.55,-0.85,-0.09000,17.56480,0.10
100,200.00,85.80,85.82,1.15,-0.18000,17.56480,0.14
100,200.00,85.78,85.60,1.15,-0.18000,17.56480,0.14
100,815.94,86.40,84.98,0.04,-0.18000,17.56480,-0.29
100,815.94,86.40,85.60,-0.61,-0.18000,17.56480,0.05
100,815.94,86.74,85.34,0.83,-0.18000,17.56480,0.14
100,-815.94,86.54,86.04,0.00,-0.09000,17.56480,0.54
100,200.00,86.06,85.35,0.00,0.00000,4.95720,0.54
100,815.94,86.06,85.19,-0.57,0.09000,18.52800,0.21
100,200.00,85.82,86.69,0.58,0.27000,18.49360,1.21
100,815.94,84.54,85.42,0.37,0.36000,18.21840,0.81
100,815.94,83.06,84.52,0.37,0.45000,18.21840,0.81
