CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,815.94,90.00,89.28,0.00,-6.48000,0.00000,10.08
100,-815.94,84.35,90.93,0.41,0.00000,18.83760,0.13
100,-815.94,82.02,89.27,1.04,0.00000,18.85480,0.11
100,815.94,84.19,87.38,-2.86,0.09000,18.85480,-1.05
100,815.94,84.52,88.21,-2.86,0.09000,31.89240,-1.05
100,-815.94,84.52,88.26,0.84,0.00000,18.83760,0.70
100,815.94,83.75,86.44,-1.27,0.09000,20.14480,-1.15
100,-815.94,84.87,87.50,-0.16,0.09000,20.12760,0.67
100,815.94,85.11,86.64,-0.16,0.09000,20.12760,0.67
100,815.94,85.11,86.18,-0.36,0.18000,20.12760,-0.90
100,-815.94,85.52,87.17,-0.01,0.09000,19.16440,0.74
100,815.94,85.75,85.79,-0.23,0.18000,19.16440,-0.94
100,200.00,86.41,85.61,-0.61,0.18000,19.16440,0.49
100,815.94,86.88,85.64,-0.61,0.18000,6.67720,0.49
100,-815.94,86.88,87.11,0.11,0.18000,19.16440,-0.13
100,-815.94,86.55,86.96,1.71,0.18000,19.21600,0.57
100,815.94,86.40,85.08,-1.95,0.18000,19.14720,-1.12
100,815.94,87.80,85.82,-1.95,0.18000,19.14720,-1.12
100,-815.94,88.14,87.87,0.39,0.09000,19.18160,0.42
100,200.00,88.14,87.32,1.68,0.18000,19.16440,-0.03
100,815.94,87.48,86.48,-0.88,0.18000,19.16440,0.05
100,-18.96,88.01,87.47,0.33,0.18000,19.16440,0.29
100,200.00,87.77,87.17,0.33,0.18000,4.97440,0.29
100,815.94,88.42,86.93,-0.15,0.18000,19.16440,-0.60
100,-815.94,88.42,87.80,0.53,0.09000,19.16440,0.53
100,815.94,88.38,87.12,-0.47,0.18000,19.16440,-1.06
100,-815.94,89.19,88.19,-0.47,0.18000,19.16440,-1.06
100,815.94,89.63,87.32,0.99,0.18000,19.16440,0.43
100,815.94,89.63,88.19,-0.75,0.09000,19.16440,-0.10
100,200.00,89.03,88.40,1.24,0.09000,19.11280,0.06
100,815.94,89.46,88.36,-0.49,0.09000,19.11280,-0.01
100,815.94,89.54,88.22,-0.49,0.09000,4.99160,-0.01
100,-815.94,89.81,88.88,-0.04,0.09000,19.16440,-0.25
100,815.94,89.81,88.42,0.57,0.09000,19.16440,0.67
100,200.00,89.18,89.23,0.19,0.09000,19.16440,0.19
100,200.00,88.48,89.10,0.19,0.09000,19.16440,0.19
100,815.94,89.49,88.44,0.08,0.09000,20.12760,-0.49
100,-815.94,89.52,89.12,-0.51,0.09000,19.16440,0.16
100,815.94,89.52,88.52,0.30,0.09000,19.16440,-0.05
100,200.00,89.13,88.90,-0.05,0.09000,19.16440,0.38
100,200.00,88.96,88.77,-0.05,0.09000,5.76560,0.38
100,815.94,89.64,88.29,-0.09,0.09000,19.16440,-0.67
100,-815.94,89.67,89.52,-0.05,0.09000,19.16440,0.36
100,200.00,89.67,89.69,1.03,0.09000,20.12760,-0.07
100,200.00,89.23,89.39,1.03,0.09000,20.12760,-0.07
100,815.94,89.74,88.79,-0.33,0.09000,20.12760,-0.10
100,815.94,90.09,89.24,-0.60,0.09000,20.14480,-0.23
100,200.00,90.09,89.52,0.96,0.09000,20.12760,0.02
100,815.94,90.05,89.03,-0.69,0.09000,20.12760,0.14
100,200.00,89.85,89.92,-0.69,0.09000,6.76320,0.14
100,200.00,89.51,89.63,0.79,0.09000,20.12760,0.27
100,200.00,89.64,89.11,-0.45,0.09000,20.12760,-0.12
100,815.94,89.64,88.57,-0.78,0.09000,20.12760,0.02
100,815.94,89.78,89.71,-0.78,0.09000,20.12760,0.02
100,-815.94,89.15,90.17,1.07,0.00000,20.14480,0.38
100,815.94,89.59,88.36,-0.35,0.09000,20.17920,-0.45
100,815.94,89.15,89.22,-0.76,0.09000,20.14480,0.68
100,-815.94,89.15,90.31,1.68,0.00000,20.14480,-0.13
100,815.94,88.64,88.57,1.68,0.09000,5.80000,-0.13
100,815.94,89.97,88.56,-1.70,0.09000,20.14480,-0.60
100,-815.94,89.59,90.28,0.61,0.00000,20.12760,0.39
100,-815.94,89.32,89.68,1.06,0.00000,18.83760,-0.24
100,815.94,89.32,87.80,1.06,0.09000,18.83760,-0.24
100,815.94,89.79,88.49,-2.22,0.09000,20.14480,0.11
100,-815.94,89.55,90.78,1.25,0.00000,20.14480,-0.01
100,815.94,88.78,89.53,1.36,0.00000,18.85480,0.64
100,200.00,88.78,88.25,-2.06,0.09000,18.85480,-1.00
100,815.94,89.89,88.94,-2.06,0.09000,5.52480,-1.00
100,200.00,90.05,90.98,0.77,0.00000,18.82040,0.47
100,-815.94,88.79,89.95,1.68,0.00000,18.85480,0.28
100,815.94,91.16,88.18,-2.47,0.09000,18.88920,-1.54
100,815.94,91.16,89.18,-2.47,0.00000,18.88920,-1.54
100,200.00,90.60,91.03,0.78,0.00000,18.85480,1.14
100,-815.94,88.46,90.04,1.61,0.00000,18.85480,0.40
100,815.94,91.24,88.85,-1.90,0.00000,18.83760,-1.41
100,815.94,91.01,90.16,0.78,0.00000,18.83760,0.75
100,200.00,91.01,90.71,0.78,0.00000,4.64760,0.75
100,815.94,88.52,89.70,0.69,0.00000,18.83760,-0.76
100,-815.94,90.11,90.42,-0.65,0.00000,18.83760,0.46
100,200.00,90.17,90.10,0.33,0.00000,18.83760,-1.01
100,815.94,90.43,89.38,0.33,0.00000,18.83760,-1.01
100,815.94,90.43,90.12,-0.78,0.00000,18.83760,0.74
100,200.00,90.50,91.29,1.19,0.00000,18.85480,0.00
100,-815.94,89.55,90.54,0.50,0.00000,18.83760,-0.22
100,815.94,90.33,88.57,-2.28,0.00000,18.83760,-0.98
100,815.94,90.33,89.14,-2.28,0.00000,5.95480,-0.98
100,-815.94,91.75,91.18,0.61,0.00000,18.85480,0.82
100,200.00,90.80,90.44,1.52,0.00000,18.83760,0.26
100,815.94,89.70,89.58,-1.37,0.00000,18.83760,-0.48
100,815.94,90.88,89.88,-1.37,0.00000,18.83760,-0.48
100,200.00,90.88,90.87,0.26,0.00000,18.83760,0.25
100,200.00,90.75,91.33,1.21,0.00000,18.83760,0.39
100,815.94,89.63,90.13,-0.21,0.00000,18.85480,-0.61
100,815.94,90.59,89.68,-1.30,0.00000,18.85480,0.16
100,200.00,90.81,91.11,-1.30,0.00000,5.26680,0.16
100,200.00,90.81,91.43,1.50,-0.09000,18.83760,-0.06
100,815.94,90.26,89.76,-0.21,0.00000,18.83760,-0.25
100,815.94,90.87,88.67,-2.16,0.00000,18.83760,0.15
100,815.94,90.76,89.80,-2.16,0.00000,18.83760,0.15
100,-815.94,90.22,91.90,1.04,-0.09000,18.83760,0.17
100,815.94,90.22,90.24,1.76,-0.09000,18.83760,0.17
100,815.94,90.11,88.75,-2.44,0.00000,18.83760,-1.36
100,815.94,91.84,89.53,0.08,0.00000,18.83760,1.15
100,-815.94,90.96,91.80,0.08,-0.09000,4.38960,1.15
100,200.00,90.96,90.58,2.32,-0.09000,18.83760,-0.05
100,815.94,89.70,88.36,-2.13,0.00000,18.83760,-1.18
100,815.94,92.21,88.51,-1.32,0.00000,18.83760,0.53
100,815.94,91.86,90.75,-1.32,0.00000,18.83760,0.53
100,-815.94,90.19,92.93,2.40,-0.09000,18.83760,0.39
100,815.94,90.19,90.82,1.61,-0.09000,18.88920,0.11
100,815.94,90.61,89.58,-2.52,-0.09000,18.85480,-1.77
100,815.94,92.95,90.50,0.29,-0.09000,18.85480,1.07
100,-815.94,92.14,92.64,0.29,-0.18000,5.06040,1.07
100,-815.94,90.61,92.25,2.16,-0.18000,18.83760,0.06
100,815.94,90.61,91.02,-1.08,-0.09000,18.83760,-0.61
100,815.94,92.33,91.92,-0.02,-0.09000,18.85480,0.94
100,815.94,91.25,91.64,-0.02,-0.18000,18.85480,0.94
100,200.00,91.18,90.58,0.06,-0.09000,18.83760,-0.80
100,815.94,91.47,90.09,-1.14,-0.09000,18.83760,0.67
100,815.94,91.47,91.53,0.33,-0.09000,18.83760,0.04
100,-815.94,90.34,92.37,1.73,-0.09000,18.83760,0.56
100,815.94,89.92,90.65,1.73,0.00000,4.61320,0.56
100,815.94,90.11,91.25,-1.67,0.00000,19.81800,-0.33
