CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.25,0.00,-3.24000,0.00000,10.01
100,815.94,84.39,89.37,0.40,0.00000,18.18400,-0.30
100,-815.94,82.59,90.53,0.85,-0.09000,18.20120,0.30
100,815.94,84.68,88.31,-0.93,-0.09000,18.20120,-0.60
100,815.94,84.13,87.24,-0.93,0.00000,33.81880,-0.60
100,-815.94,84.13,88.65,-1.41,-0.09000,18.20120,0.32
100,815.94,83.87,87.36,1.16,-0.09000,18.20120,1.22
100,815.94,82.27,86.35,-2.07,-0.09000,19.16440,-0.49
100,-815.94,82.54,87.20,-2.07,-0.09000,19.16440,-0.49
100,815.94,82.54,85.61,0.74,-0.09000,19.13000,-0.47
100,815.94,84.32,85.92,-1.61,-0.09000,19.16440,0.80
100,-815.94,83.10,85.94,0.97,-0.18000,17.85720,0.14
100,815.94,82.58,84.72,-1.65,-0.18000,17.85720,0.49
100,-815.94,82.89,85.70,-1.65,-0.18000,4.35520,0.49
100,815.94,82.89,84.35,0.81,-0.18000,17.87440,0.23
100,-815.94,82.46,85.08,-1.11,-0.18000,17.87440,0.52
100,815.94,82.13,83.98,0.09,-0.18000,17.87440,-1.05
100,815.94,83.67,83.86,0.09,-0.18000,17.87440,-1.05
100,200.00,83.74,84.43,-0.53,-0.18000,17.87440,0.66
100,200.00,83.74,84.01,0.42,-0.18000,17.87440,-0.28
100,200.00,83.43,83.15,-0.73,-0.18000,17.87440,0.01
100,815.94,84.45,83.54,-0.22,-0.18000,17.87440,0.33
100,-815.94,84.14,85.07,-0.22,-0.27000,4.38960,0.33
100,200.00,84.25,83.57,1.54,-0.27000,17.84000,-0.05
100,815.94,84.25,82.56,-2.12,-0.27000,17.87440,0.77
100,815.94,83.90,83.79,0.43,-0.27000,17.85720,-0.05
100,-815.94,83.71,84.93,0.43,-0.27000,17.85720,-0.05
100,200.00,84.10,83.46,1.43,-0.27000,17.87440,0.25
100,815.94,84.10,83.40,-1.50,-0.27000,17.87440,0.01
100,200.00,84.06,84.68,0.89,-0.36000,17.87440,0.25
100,200.00,84.03,84.74,0.51,-0.36000,17.87440,0.21
100,200.00,83.93,84.36,0.51,-0.36000,5.97200,0.21
100,200.00,84.74,84.38,-0.44,-0.36000,18.83760,-0.44
100,200.00,84.74,84.50,0.29,-0.36000,18.83760,0.32
100,200.00,84.87,84.02,-0.34,-0.36000,18.83760,-0.14
100,815.94,84.84,84.17,-0.34,-0.36000,18.83760,-0.14
100,200.00,85.00,85.22,0.01,-0.36000,18.83760,0.35
100,200.00,84.48,84.86,0.89,-0.45000,18.83760,0.39
100,200.00,84.48,84.11,-0.67,-0.36000,18.83760,-0.14
100,815.94,84.87,83.98,-0.54,-0.45000,18.83760,0.16
100,200.00,85.16,85.34,-0.54,-0.45000,6.21280,0.16
100,-815.94,84.54,85.32,1.40,-0.45000,18.83760,0.41
100,815.94,85.92,83.27,-1.06,-0.45000,18.80320,-0.93
100,815.94,85.92,83.71,-0.92,-0.45000,18.83760,1.09
100,-815.94,85.38,85.61,-0.92,-0.45000,18.83760,1.09
100,-815.94,84.10,85.10,2.04,-0.54000,18.83760,0.25
100,815.94,86.50,83.92,-1.15,-0.54000,18.83760,-1.12
100,815.94,86.50,84.96,-0.12,-0.54000,18.83760,0.47
100,-815.94,86.61,85.44,1.30,-0.54000,18.83760,0.43
100,200.00,85.14,84.80,1.30,-0.54000,4.02840,0.43
100,815.94,86.38,85.02,-0.74,-0.54000,18.83760,-0.41
100,-815.94,86.43,86.00,0.58,-0.63000,18.83760,0.40
100,815.94,86.43,85.37,-0.06,-0.54000,18.83760,-0.09
100,200.00,86.05,86.20,-0.06,-0.63000,18.83760,-0.09
100,200.00,87.07,86.21,0.71,-0.63000,18.52800,-0.28
100,815.94,87.56,85.47,-0.23,-0.63000,18.51080,-0.23
100,-815.94,86.98,86.55,-0.06,-0.63000,18.54520,0.48
100,815.94,86.98,85.77,-0.04,-0.63000,18.54520,-0.37
100,815.94,87.44,86.54,-0.04,-0.63000,5.61080,-0.37
100,815.94,87.95,86.13,0.76,-0.63000,18.52800,0.10
100,815.94,87.81,86.79,-0.54,-0.72000,18.51080,-0.07
100,815.94,87.97,86.42,0.50,-0.72000,18.51080,0.10
100,815.94,87.97,86.82,0.50,-0.72000,18.51080,0.10
100,815.94,87.93,86.97,0.14,-0.72000,18.51080,0.10
100,815.94,89.05,86.99,-0.13,-0.72000,18.51080,-0.80
100,-815.94,89.00,87.61,0.94,-0.72000,18.56240,0.47
100,815.94,89.00,87.57,-0.32,-0.72000,18.56240,0.11
100,200.00,88.24,87.54,-0.32,-0.72000,4.99160,0.11
100,815.94,90.03,87.43,-0.02,-0.72000,18.51080,-0.99
100,-815.94,89.50,88.54,0.61,-0.81000,18.51080,0.84
100,815.94,90.58,87.75,-0.25,-0.81000,18.51080,-1.61
