CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.82,0.00,-4.14000,0.00000,10.06
100,-815.94,83.07,90.40,0.42,-0.81000,21.43480,-1.21
100,815.94,81.66,89.46,-1.20,-1.71000,21.10800,-1.59
100,815.94,86.11,88.31,-0.67,-2.88000,21.10800,-0.17
100,815.94,84.80,88.49,-0.67,-3.24000,31.96120,-0.17
100,-815.94,84.80,88.40,0.01,-3.33000,21.43480,-4.05
100,815.94,90.10,86.99,-1.28,-3.42000,19.81800,-5.38
100,815.94,102.24,88.89,0.61,-3.33000,19.81800,-5.17
100,-815.94,112.94,91.33,0.61,-3.42000,19.81800,-5.17
100,815.94,112.94,92.01,2.87,-3.15000,18.85480,-1.74
100,815.94,120.04,94.46,1.14,-3.06000,17.89160,5.04
100,815.94,116.13,98.31,3.58,-2.70000,17.56480,8.32
100,-815.94,103.78,101.99,4.81,-2.25000,17.56480,5.69
100,-815.94,94.52,100.86,4.81,-1.98000,6.53960,5.69
100,815.94,94.52,97.94,-1.24,-1.98000,18.21840,1.22
100,815.94,91.26,98.29,-2.35,-1.98000,17.89160,0.20
100,-815.94,88.14,98.75,1.23,-1.80000,18.85480,0.25
100,815.94,83.56,95.83,1.23,-1.62000,18.85480,0.25
100,815.94,79.49,95.07,-2.94,-1.44000,19.49120,0.43
100,-815.94,79.49,93.94,-0.48,-1.08000,19.18160,0.31
100,815.94,76.03,90.43,-3.18,-0.81000,19.81800,0.41
100,-815.94,72.72,89.82,-1.84,-0.54000,19.81800,-0.03
100,-815.94,70.31,88.14,-1.84,-0.18000,6.12680,-0.03
100,815.94,69.01,84.49,-1.96,0.18000,18.90640,-0.33
100,815.94,69.01,84.06,-3.27,0.54000,19.81800,0.29
100,-815.94,66.98,82.72,-0.32,0.90000,19.23320,-0.05
100,815.94,65.39,79.31,-0.32,1.17000,19.23320,-0.05
100,815.94,65.02,78.80,-3.80,1.35000,21.10800,-0.24
100,-815.94,65.02,77.73,-0.24,1.35000,20.79840,-0.18
100,815.94,64.55,74.95,-3.00,1.35000,21.43480,-0.21
100,800.03,64.28,74.77,-1.24,1.17000,21.43480,-1.16
100,-578.10,65.97,73.50,-1.24,0.81000,7.34800,-1.16
100,815.94,68.89,72.05,-1.41,0.45000,21.12520,-1.43
100,-815.94,68.89,72.99,-0.58,-0.36000,22.08840,-0.41
100,815.94,70.30,71.60,-0.40,-1.08000,22.08840,-0.18
100,815.94,71.21,72.18,-0.40,-1.71000,22.08840,-0.18
100,-815.94,76.18,72.23,0.29,-1.89000,21.10800,-2.27
100,815.94,87.58,72.15,-0.43,-1.98000,21.43480,-5.44
100,-815.94,87.58,75.03,1.56,-2.16000,20.14480,-6.52
100,815.94,102.29,76.78,2.72,-2.16000,20.14480,-2.85
100,815.94,112.18,79.80,2.72,-2.07000,4.88840,-2.85
100,815.94,113.62,84.25,3.48,-2.34000,19.81800,2.05
100,-815.94,107.13,88.05,5.49,-2.52000,17.56480,6.64
100,815.94,107.13,88.68,1.76,-2.25000,17.89160,8.27
100,815.94,95.38,90.46,1.76,-1.80000,17.89160,8.27
100,-815.94,88.05,91.63,2.23,-1.71000,17.77120,3.87
100,815.94,86.41,89.30,0.41,-1.80000,17.56480,0.25
100,815.94,86.41,89.18,-1.93,-1.80000,18.47640,-0.22
100,-815.94,83.59,90.16,1.18,-1.71000,18.47640,0.13
100,815.94,79.58,87.69,1.18,-1.44000,4.63040,0.13
100,815.94,75.92,86.75,-2.56,-1.26000,18.85480,0.55
100,-815.94,72.48,86.71,-0.12,-0.99000,18.52800,0.51
100,815.94,72.48,83.48,-2.52,-0.72000,19.18160,-0.05
100,815.94,70.29,82.63,-2.52,-0.36000,19.18160,-0.05
100,-815.94,67.67,82.17,-1.53,-0.09000,18.85480,0.55
100,815.94,66.47,78.75,-1.28,0.27000,19.49120,-0.62
100,815.94,65.83,77.71,-3.17,0.72000,19.16440,-0.04
100,-815.94,65.83,77.60,0.02,0.99000,19.16440,-0.01
100,815.94,64.39,74.85,0.02,1.35000,5.90320,-0.01
