CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.71,0.00,-3.87000,0.00000,10.11
100,-815.94,84.35,89.44,0.41,0.00000,6.21280,0.15
100,815.94,83.35,88.16,-1.15,0.09000,6.23000,-0.76
100,815.94,92.10,87.62,-0.40,0.09000,6.23000,0.97
100,815.94,90.44,87.79,-0.40,0.09000,6.23000,0.97
100,-815.94,90.44,89.76,-0.20,0.09000,6.21280,0.14
100,815.94,87.74,88.43,1.88,0.09000,6.23000,1.06
100,200.00,88.44,88.10,-1.58,0.09000,6.23000,-0.72
100,815.94,89.65,88.06,-0.04,0.09000,6.23000,0.05
100,-815.94,89.65,89.60,-0.04,0.09000,6.23000,0.05
100,815.94,91.32,88.98,1.53,0.09000,6.23000,0.22
100,200.00,89.48,89.30,-0.92,0.09000,6.23000,-1.15
100,815.94,90.96,89.75,0.83,0.09000,6.23000,0.46
100,815.94,91.16,89.88,0.13,0.09000,6.23000,1.43
100,815.94,91.16,90.01,0.13,0.09000,6.23000,1.43
100,432.66,87.09,89.64,0.14,0.09000,6.21280,-1.27
100,-219.64,88.00,89.57,-0.75,0.09000,6.23000,-0.05
100,815.94,90.68,88.76,0.00,0.09000,6.19560,0.09
100,815.94,88.48,89.40,-0.01,0.09000,6.19560,1.20
100,-815.94,88.48,89.74,-0.01,0.09000,6.21280,1.20
100,815.94,90.81,88.37,0.14,0.09000,6.21280,-2.06
100,815.94,90.93,89.93,-0.67,0.09000,6.23000,1.84
100,-815.94,86.53,90.25,1.81,0.00000,6.21280,0.17
100,815.94,86.53,88.52,-1.95,0.09000,6.21280,-1.24
100,815.94,91.64,89.66,-1.95,0.09000,6.23000,-1.24
100,-815.94,91.92,90.21,1.37,0.00000,6.23000,0.28
100,815.94,88.83,89.94,-0.33,0.09000,6.23000,0.15
100,-815.94,88.71,90.03,0.74,0.00000,6.17840,0.69
100,200.00,88.71,89.52,-0.95,0.09000,6.17840,-0.69
100,200.00,90.12,89.56,-0.95,0.09000,6.24720,-0.69
