CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.91,0.00,-6.21000,0.00000,10.05
100,-815.94,82.87,91.17,0.40,0.00000,20.78120,0.08
100,815.94,79.46,89.01,0.38,0.00000,20.78120,-0.18
100,815.94,80.91,87.73,-2.57,0.09000,20.78120,0.30
100,-815.94,78.16,88.27,-2.57,0.09000,30.99800,0.30
100,815.94,78.16,86.00,0.28,0.09000,20.78120,0.08
100,-815.94,76.18,85.93,-2.31,0.18000,20.78120,-0.31
100,-815.94,76.20,84.79,-0.01,0.18000,20.78120,0.79
100,815.94,73.96,82.94,-0.01,0.27000,20.78120,0.79
100,-815.94,73.96,83.46,-2.28,0.27000,20.78120,-1.53
100,815.94,75.00,81.16,0.08,0.36000,20.78120,1.86
100,815.94,72.98,80.75,-2.29,0.45000,20.78120,-1.80
100,-815.94,73.28,80.58,0.32,0.54000,20.78120,1.21
100,815.94,73.43,78.57,0.32,0.63000,4.28640,1.21
100,-815.94,73.43,79.49,-2.04,0.63000,19.80080,-0.89
100,-33.80,72.76,78.03,0.73,0.72000,20.12760,1.51
100,815.94,71.56,76.70,-2.37,0.81000,20.14480,-1.14
100,-815.94,72.03,77.64,-2.37,0.81000,20.14480,-1.14
100,815.94,72.69,75.89,0.77,0.90000,20.12760,0.36
100,815.94,72.69,75.75,-1.93,0.90000,20.12760,-0.91
100,-815.94,73.25,76.33,0.93,0.90000,20.12760,0.68
100,815.94,73.11,74.65,-1.67,0.99000,20.12760,-0.62
100,-815.94,73.64,75.81,-1.67,0.99000,7.57160,-0.62
100,815.94,73.60,74.71,1.04,0.99000,20.45440,0.70
100,815.94,73.60,74.77,-1.46,1.08000,20.45440,-0.98
100,-815.94,74.70,75.19,1.09,1.08000,20.45440,0.99
100,200.00,74.43,73.85,1.09,1.08000,20.45440,0.99
100,815.94,74.35,74.01,-1.50,1.08000,20.45440,-0.45
100,-815.94,74.35,75.54,0.71,1.08000,20.43720,0.44
100,200.00,74.84,74.02,0.18,1.08000,20.45440,-0.80
100,815.94,75.81,73.97,-0.92,1.17000,20.45440,0.35
100,-815.94,76.18,75.98,-0.92,1.08000,5.78280,0.35
100,200.00,75.59,75.38,2.01,1.08000,20.45440,0.25
100,815.94,75.59,74.64,-1.08,1.17000,20.45440,-0.09
100,-815.94,76.17,75.97,0.61,1.08000,20.45440,0.07
100,815.94,76.55,75.14,0.61,1.08000,20.45440,0.07
100,-83.44,76.82,75.91,-0.38,1.08000,20.45440,-0.16
100,815.94,76.78,75.40,0.93,1.08000,20.45440,0.33
100,815.94,76.78,75.87,-0.67,1.08000,20.45440,-0.14
100,-433.06,76.99,76.06,0.82,1.08000,20.45440,0.30
100,815.94,77.01,76.10,0.82,1.08000,6.05800,0.30
100,200.00,76.53,76.24,0.03,1.08000,20.45440,0.25
100,815.94,77.49,75.45,-0.56,1.08000,20.45440,-0.51
100,58.54,77.49,76.72,0.35,1.08000,20.42000,0.54
100,200.00,77.20,76.45,0.35,1.08000,20.42000,0.54
100,815.94,77.78,76.64,0.23,1.08000,20.45440,-0.70
100,815.94,77.85,76.46,0.59,1.08000,20.45440,0.62
100,815.94,77.85,76.99,-0.50,1.08000,20.45440,-0.33
100,815.94,77.78,76.63,0.25,1.08000,20.45440,-0.20
100,815.94,78.92,77.15,0.25,1.08000,7.57160,-0.20
100,815.94,78.30,77.16,0.55,1.08000,20.45440,0.51
100,815.94,78.89,77.21,-0.46,1.08000,20.45440,-0.51
100,-815.94,78.89,77.81,1.06,0.99000,20.45440,0.35
