CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,-801.67,62.86,80.54,-0.04712,7.98
100,562.86,80.15,75.36,-0.04084,10.52
100,810.79,100.75,73.44,-0.03613,8.59
100,810.79,111.00,76.07,-0.03927,2.51
100,810.79,114.49,81.48,-0.04398,2.51
100,810.79,109.95,88.42,-0.04398,2.48
100,-449.17,93.45,95.70,-0.04398,1.97
100,-810.79,96.14,96.55,-0.04398,0.60
100,647.08,98.21,91.15,-0.04555,1.08
100,810.79,94.76,88.21,-0.04555,1.53
100,810.79,91.39,89.78,-0.04555,5.32
100,587.85,93.28,93.75,-0.04712,0.44
100,-303.54,98.87,96.56,-0.04869,2.02
100,-199.30,95.91,96.26,-0.05184,-0.22
100,326.98,94.01,94.35,-0.05498,-1.12
100,810.79,91.25,92.63,-0.06126,-0.51
100,372.50,87.71,93.80,-0.06597,-3.37
100,72.61,86.88,93.91,-0.06912,-10.62
100,-54.12,88.43,93.55,-0.07069,-6.84
100,-163.82,81.91,92.72,-0.07069,-3.15
100,-632.35,67.96,91.68,-0.07383,-8.90
100,-480.09,69.75,88.22,-0.07226,-9.43
100,448.40,79.33,83.94,-0.06597,-8.12
100,695.06,73.76,82.24,-0.05812,-8.12
100,-122.35,64.97,82.96,-0.05341,-0.57
100,-644.94,67.50,82.62,-0.05184,8.85
100,42.42,92.89,80.17,-0.04712,8.82
100,810.79,107.13,78.35,-0.04555,11.30
100,810.79,113.47,80.78,-0.04555,8.59
100,810.79,116.30,85.88,-0.05027,0.81
100,416.36,110.05,92.49,-0.05027,3.82
100,-543.87,96.44,97.10,-0.05184,2.87
100,-369.59,96.14,96.11,-0.05341,4.51
100,777.96,100.74,92.59,-0.05498,0.47
100,810.79,102.01,91.75,-0.05655,0.64
100,810.79,94.07,94.11,-0.05655,0.89
100,-111.74,89.13,97.33,-0.05812,1.86
100,-458.17,90.28,97.34,-0.05812,-0.51
100,-31.38,93.56,95.25,-0.05969,-1.66
100,810.79,95.21,92.34,-0.06126,-0.33
100,766.59,90.93,92.86,-0.06283,-2.61
100,12.67,86.04,94.49,-0.06597,-3.37
100,-106.14,86.59,93.84,-0.06912,-3.37
100,-9.59,85.75,92.54,-0.06912,-7.88
100,68.91,81.20,90.97,-0.06912,-4.73
100,-93.47,73.53,89.45,-0.07069,-2.99
100,-240.40,79.49,88.13,-0.06754,-11.27
100,-183.73,79.58,86.88,-0.06597,-5.77
100,-137.77,67.87,85.69,-0.06126,-2.92
100,-406.82,69.81,84.37,-0.05655,2.79
100,-309.73,81.84,82.53,-0.05341,3.10
100,493.68,94.67,80.22,-0.04869,8.69
100,810.79,100.55,80.23,-0.04712,6.66
100,810.79,105.95,84.06,-0.05027,15.56
100,262.68,108.82,88.90,-0.05341,3.89
100,607.18,124.10,90.91,-0.05498,2.58
100,810.79,129.17,92.86,-0.05655,3.00
100,810.79,108.56,97.03,-0.05812,2.53
100,-188.54,94.14,101.46,-0.05969,2.80
100,-668.66,94.90,101.80,-0.06126,1.86
100,402.50,99.12,97.75,-0.06126,1.08
100,810.79,99.89,95.10,-0.06126,1.08
100,810.79,96.13,96.26,-0.06126,0.77
100,112.39,92.08,99.11,-0.06283,0.69
100,-316.07,90.77,99.32,-0.06283,0.82
100,-95.00,91.90,97.60,-0.06597,-0.63
100,585.88,92.84,94.79,-0.06912,-1.05
100,793.93,90.55,94.11,-0.07069,-10.19
100,154.33,84.28,95.61,-0.07226,-6.30
100,-293.51,69.79,95.31,-0.07383,-0.01
100,-731.12,71.58,93.45,-0.07697,-2.41
100,-1.73,87.31,88.83,-0.07383,-11.59
100,810.79,86.93,85.63,-0.07226,-11.67
100,252.67,66.47,87.55,-0.06440,-7.21
100,-810.79,55.24,89.03,-0.06440,0.13
100,-810.79,58.98,84.15,-0.05655,3.46
100,810.79,72.88,75.50,-0.04398,8.04
100,810.79,89.14,71.34,-0.03613,6.85
100,810.79,99.13,72.24,-0.03456,9.91
100,810.79,105.90,76.56,-0.03770,8.88
100,810.79,107.50,82.86,-0.03927,8.88
100,810.79,111.51,90.47,-0.04241,3.65
100,-435.71,110.66,97.76,-0.04555,3.66
100,-713.66,101.51,98.76,-0.05027,3.00
100,594.80,98.93,94.50,-0.05184,2.04
100,810.79,100.06,92.45,-0.05341,0.48
100,810.79,95.12,94.47,-0.05498,0.60
100,149.63,90.48,98.13,-0.05498,1.64
100,-502.21,90.84,99.10,-0.05655,1.69
100,-280.85,94.57,97.34,-0.05812,-0.54
100,587.35,95.62,94.17,-0.06126,-1.86
100,810.79,90.78,92.99,-0.06440,-1.29
100,276.70,85.21,94.98,-0.06754,-5.27
100,-336.61,85.31,95.62,-0.07226,-9.89
100,-417.47,86.64,94.64,-0.07226,-5.38
100,-371.06,78.69,92.98,-0.07226,-2.94
100,-520.56,68.25,90.98,-0.07383,-8.91
100,-456.79,73.27,88.29,-0.07069,-9.14
100,75.46,80.78,85.34,-0.06440,-6.19
100,497.02,72.90,82.82,-0.05812,-6.19
100,413.05,66.18,81.36,-0.05184,-2.19
100,327.62,71.12,80.21,-0.04869,2.22
100,705.30,83.18,79.10,-0.04555,11.93
100,810.79,92.96,80.40,-0.04555,11.38
100,417.01,97.87,83.83,-0.04869,5.57
100,810.79,119.51,85.85,-0.05184,0.01
100,810.79,107.24,89.58,-0.05341,0.89
100,127.99,91.08,94.35,-0.05498,2.98
100,-589.64,89.92,96.00,-0.05655,2.35
100,-123.31,97.66,93.80,-0.05655,0.65
100,810.79,99.17,90.77,-0.05655,0.49
100,810.79,93.48,91.49,-0.05655,0.45
100,199.92,89.48,94.47,-0.05655,2.14
100,-195.06,89.86,94.99,-0.05655,0.55
100,71.31,92.37,93.56,-0.05655,-1.26
100,798.12,95.37,91.27,-0.05969,-1.38
100,712.45,92.98,92.11,-0.06126,-2.35
100,91.79,87.16,93.67,-0.06597,-4.11
100,-73.65,85.41,93.22,-0.06912,-4.11
100,-14.67,85.12,92.05,-0.06912,-9.85
100,4.91,79.28,90.62,-0.06754,-1.84
100,-214.22,70.88,89.16,-0.06912,-6.57
100,-272.90,77.78,87.78,-0.06754,-10.11
100,-241.77,77.91,86.46,-0.06440,-9.70
100,-336.66,72.89,85.16,-0.06126,-3.27
100,-586.47,65.08,83.48,-0.05655,0.05
100,-317.12,78.11,80.35,-0.05027,2.21
100,728.86,89.98,76.87,-0.04398,7.47
100,810.79,96.25,76.70,-0.04241,9.29
100,810.79,104.85,80.47,-0.04398,6.40
100,369.56,110.67,86.04,-0.05027,4.04
100,199.75,107.30,89.30,-0.05184,3.17
100,630.82,101.65,89.79,-0.05341,0.51
100,786.20,100.19,90.80,-0.05498,-0.15
100,404.54,98.13,93.01,-0.05498,1.34
100,502.05,92.94,92.89,-0.05498,1.81
100,581.03,90.47,92.55,-0.05498,0.13
100,526.63,92.66,92.61,-0.05498,0.13
100,568.95,94.43,92.61,-0.05498,0.44
100,574.41,91.98,92.62,-0.05498,0.55
100,517.00,90.71,92.62,-0.05655,-0.33
100,469.03,90.94,92.55,-0.05969,-1.26
100,461.20,90.10,92.29,-0.06283,-1.63
100,500.34,89.07,91.77,-0.06597,-6.00
100,494.95,87.86,91.33,-0.06754,-10.01
100,318.43,75.99,91.23,-0.06754,-3.88
100,-276.79,67.02,91.22,-0.07226,0.04
100,-810.79,76.68,89.97,-0.07226,-10.44
100,171.47,87.44,85.19,-0.06912,-10.00
100,810.79,73.06,82.48,-0.05969,-6.51
100,-48.91,61.15,84.71,-0.05655,1.14
100,-810.79,69.34,84.72,-0.05655,6.99
100,323.22,89.12,79.35,-0.04712,13.29
100,810.79,97.68,75.95,-0.04241,8.29
100,810.79,106.02,77.91,-0.04398,7.33
100,810.79,117.05,83.03,-0.04712,1.65
100,810.79,114.41,89.67,-0.05027,1.65
100,-205.74,105.70,97.13,-0.05184,4.49
100,-810.79,96.23,99.33,-0.05341,3.31
100,357.74,99.41,94.79,-0.05655,0.81
100,810.79,101.88,91.47,-0.05655,0.99
100,810.79,95.91,92.26,-0.05655,1.57
100,715.05,90.94,95.65,-0.05655,0.78
100,-377.44,90.80,98.38,-0.05655,1.59
100,-415.88,93.56,97.66,-0.05812,1.38
100,187.02,94.71,95.13,-0.05969,-0.96
100,810.79,94.16,92.62,-0.06283,-1.13
100,714.55,89.13,93.79,-0.06440,-2.92
100,-59.41,85.56,95.51,-0.06912,-3.77
100,-351.20,83.73,95.10,-0.07226,-8.85
100,-467.61,80.23,93.90,-0.07226,-4.64
100,-557.66,70.67,92.05,-0.07383,-3.87
100,-528.84,67.68,89.09,-0.07226,-8.73
100,-139.25,76.20,85.67,-0.06754,-11.84
100,533.19,80.70,82.66,-0.06126,-5.12
100,528.88,70.64,81.92,-0.05498,-5.12
100,-75.74,60.55,81.81,-0.05184,2.16
100,-361.32,71.43,80.89,-0.04869,5.98
100,303.95,92.03,79.18,-0.04555,11.07
100,810.79,106.62,78.69,-0.04398,10.72
100,810.79,115.40,82.04,-0.04712,10.21
100,810.79,116.60,87.69,-0.05184,0.61
100,321.91,116.48,94.51,-0.05027,3.11
