CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,622.78,90.00,90.01,-0.07069,9.99
100,714.50,94.43,90.23,0.00000,0.01
100,479.52,93.83,90.37,0.00000,0.07
100,687.49,95.03,90.21,0.00000,0.03
100,723.42,90.89,90.64,0.00000,-0.04
100,480.95,88.99,91.34,-0.00157,0.08
100,560.30,89.83,90.82,-0.00157,-0.02
100,550.02,90.60,90.77,-0.00157,-0.12
100,542.23,90.49,90.77,-0.00157,-0.16
100,528.52,90.19,90.77,-0.00157,0.00
100,507.41,90.06,90.75,-0.00157,-0.01
100,530.02,90.23,90.60,-0.00157,0.07
100,541.39,90.33,90.53,-0.00157,0.03
100,531.62,90.23,90.53,-0.00157,-0.03
100,520.44,90.24,90.53,-0.00157,-0.05
100,517.73,90.29,90.51,-0.00157,-0.01
100,525.74,90.24,90.45,-0.00157,0.02
100,522.28,90.14,90.43,-0.00157,0.01
100,519.07,90.13,90.40,-0.00157,0.01
100,541.57,90.21,90.30,0.00000,0.30
100,563.70,90.16,90.21,0.00000,0.52
100,566.62,90.25,90.21,0.00157,0.98
100,581.45,90.56,90.20,0.00314,0.75
100,598.15,90.96,90.20,0.00471,1.48
100,624.70,90.80,90.20,0.00471,1.33
100,643.37,91.16,90.22,0.00628,0.74
100,649.11,91.53,90.34,0.00628,0.85
100,623.27,91.05,90.55,0.00785,0.61
100,632.47,90.75,90.57,0.00785,-0.29
100,636.66,90.99,90.59,0.00785,1.34
100,622.18,89.99,90.63,0.00628,-1.18
100,605.86,90.47,90.63,0.00471,-1.14
100,627.19,91.96,90.64,0.00000,-1.91
100,614.28,90.23,90.74,-0.00314,-2.45
100,519.74,88.79,90.86,-0.00628,-3.63
100,444.88,88.29,90.80,-0.01100,-2.96
100,356.92,88.35,90.79,-0.01414,-2.84
100,233.18,87.28,90.79,-0.01414,-2.84
100,100.14,87.03,90.78,-0.01414,-4.39
100,0.82,88.06,90.74,-0.01100,-3.20
100,-49.98,87.02,90.44,-0.00785,0.78
100,61.99,87.25,89.66,-0.00471,1.94
100,303.23,89.34,88.50,-0.00157,4.39
100,733.14,91.17,87.28,0.00157,5.43
100,613.69,92.71,88.30,0.00157,4.05
100,496.97,94.62,89.13,0.00000,0.81
100,722.08,95.01,89.14,0.00157,1.02
100,563.08,91.56,90.28,0.00314,2.55
100,595.01,89.45,90.19,0.00314,1.67
100,640.75,91.28,90.06,0.00314,1.42
100,681.18,92.08,90.12,0.00314,-0.37
100,673.92,91.55,90.37,0.00471,0.59
100,617.71,91.56,90.68,0.00471,0.61
100,621.81,90.15,90.68,0.00471,0.93
100,601.16,90.08,90.68,0.00471,0.37
100,592.07,90.58,90.67,0.00471,0.10
100,605.37,91.21,90.67,0.00471,0.10
100,613.54,90.82,90.67,0.00157,-1.34
100,612.25,90.58,90.67,-0.00157,-0.76
100,566.62,89.24,90.68,-0.00471,-3.05
100,506.03,88.81,90.65,-0.00628,-2.99
100,500.51,89.78,90.55,-0.01257,-0.54
100,432.02,86.62,90.54,-0.01414,-2.52
100,287.39,88.70,90.54,-0.01414,-3.61
100,221.39,89.48,90.53,-0.01257,-1.99
100,190.78,87.55,90.46,-0.00942,-0.32
100,194.33,87.39,90.05,-0.00785,2.33
100,339.31,89.15,89.31,-0.00314,5.94
100,638.41,91.05,88.40,0.00000,4.96
100,639.17,94.68,88.97,0.00000,5.67
100,589.82,95.61,89.86,-0.00157,0.37
100,696.49,94.31,90.12,-0.00157,0.14
100,681.81,95.44,90.82,0.00000,2.16
100,547.92,92.45,91.53,0.00157,2.25
100,593.87,89.44,91.29,0.00157,0.81
100,554.47,90.61,91.28,0.00157,0.81
100,587.49,92.79,91.27,0.00157,-0.02
100,629.89,92.36,91.28,0.00314,0.49
100,612.93,90.49,91.30,0.00314,1.27
100,568.85,90.02,91.29,0.00471,0.55
100,563.50,91.20,91.28,0.00314,0.56
100,591.61,92.14,91.28,0.00314,-1.12
100,594.46,90.97,91.28,0.00157,-1.84
