CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,715.33,90.00,90.00,-0.07226,20.01
100,532.49,84.90,89.99,-0.07226,0.03
100,771.93,67.19,90.03,-0.07226,-0.09
100,-2.27,72.86,89.69,-0.07226,-0.18
100,-210.68,89.10,88.44,-0.07226,-0.20
100,460.05,92.80,86.40,-0.07069,-0.14
100,810.79,89.94,86.01,-0.07069,-0.06
100,289.29,89.92,88.37,-0.07069,0.88
100,229.69,90.07,88.62,-0.07226,-0.62
100,563.29,88.63,87.65,-0.07069,-0.05
100,640.86,89.91,87.68,-0.07069,0.38
100,525.35,90.89,88.34,-0.07069,-0.06
100,607.82,90.28,88.35,-0.07069,0.11
100,630.74,89.27,88.45,-0.07069,-0.01
100,657.67,89.64,88.48,-0.07069,0.13
100,684.31,89.92,88.57,-0.07069,0.09
100,664.41,89.99,88.82,-0.07226,-0.15
100,602.79,89.79,89.13,-0.07226,0.07
100,624.32,89.85,89.14,-0.07226,0.07
100,656.04,90.12,89.15,-0.07226,-0.05
100,639.27,90.01,89.33,-0.07226,-0.00
100,597.64,90.07,89.54,-0.07226,0.27
100,616.65,89.90,89.55,-0.07226,-0.22
100,628.39,89.60,89.56,-0.07226,0.00
100,627.78,90.12,89.57,-0.07226,-0.07
100,639.27,90.23,89.60,-0.07226,-0.03
100,631.66,90.18,89.70,-0.07226,0.02
100,646.55,90.05,89.71,-0.07226,-0.10
100,654.94,90.00,89.72,-0.07226,0.03
100,657.11,90.13,89.75,-0.07226,-0.07
100,665.31,90.06,89.77,-0.07226,0.12
100,671.50,90.13,89.79,-0.07226,-0.01
100,677.35,90.14,89.82,-0.07226,0.04
100,679.97,89.87,89.83,-0.07226,-0.00
100,681.03,89.89,89.83,-0.07226,-0.01
100,683.39,89.94,89.83,-0.07226,-0.03
100,687.73,89.99,89.84,-0.07226,-0.11
100,692.33,90.02,89.84,-0.07226,-0.11
100,695.32,90.08,89.86,-0.07226,-0.03
100,701.34,90.21,89.88,-0.07226,-0.05
100,704.80,90.16,89.90,-0.07226,0.04
100,707.89,90.12,89.92,-0.07226,-0.07
100,708.94,90.00,89.94,-0.07226,-0.02
100,707.40,90.09,89.95,-0.07226,-0.07
100,709.92,90.13,89.96,-0.07226,0.08
100,715.48,90.13,89.96,-0.07226,0.05
100,715.73,89.89,89.98,-0.07226,-0.10
100,709.20,89.89,89.99,-0.07226,0.10
100,706.80,90.10,89.99,-0.07226,-0.03
100,708.98,89.95,89.99,-0.07226,0.07
100,706.98,89.98,89.99,-0.07226,-0.15
100,707.31,90.03,89.99,-0.07226,0.06
100,707.72,89.98,89.99,-0.07226,-0.00
100,711.16,90.17,89.99,-0.07226,-0.04
100,713.60,90.03,90.00,-0.07226,0.07
100,713.49,89.98,90.00,-0.07226,0.01
100,713.91,90.02,90.00,-0.07226,0.01
100,710.90,89.92,90.00,-0.07226,0.02
100,707.60,89.91,90.00,-0.07226,0.00
100,705.39,89.95,90.00,-0.07226,0.10
100,705.04,90.00,90.00,-0.07226,-0.06
100,703.55,89.96,90.00,-0.07226,0.11
100,698.16,89.97,90.00,-0.07226,-0.04
100,696.72,89.87,90.00,-0.07226,-0.06
100,692.35,89.99,90.00,-0.07226,-0.03
100,692.59,90.11,90.00,-0.07226,-0.22
100,697.23,90.17,90.00,-0.07226,0.02
100,705.74,90.37,90.00,-0.07226,-0.02
100,717.49,90.17,90.00,-0.07226,0.16
100,720.20,89.97,90.00,-0.07226,-0.22
100,713.02,89.66,90.01,-0.07226,-0.01
100,700.13,89.68,90.01,-0.07226,0.04
100,698.72,90.26,90.01,-0.07226,-0.04
100,707.46,90.22,90.01,-0.07226,0.10
100,709.66,89.96,90.01,-0.07226,-0.07
100,707.33,89.94,90.01,-0.07226,-0.07
100,703.84,89.90,90.01,-0.07226,0.13
100,702.97,90.02,90.01,-0.07226,0.04
100,704.64,90.06,90.01,-0.07069,2.00
100,687.08,89.42,90.01,-0.07069,2.59
100,564.52,86.27,90.00,-0.07226,2.39
100,430.05,84.37,89.73,-0.07226,1.33
100,371.33,83.14,89.14,-0.07383,-3.73
100,418.57,86.60,88.25,-0.07540,-2.99
100,592.76,96.00,87.66,-0.07854,-0.49
100,546.64,97.29,88.97,-0.08011,-14.66
100,351.30,97.39,90.58,-0.08325,-8.75
100,543.94,116.44,91.34,-0.08325,-5.26
100,810.79,118.33,93.24,-0.08325,-1.52
100,399.09,108.52,97.96,-0.09111,6.97
100,-577.99,103.99,102.01,-0.09425,11.18
100,-489.12,95.93,101.23,-0.09582,5.87
100,-173.09,76.16,98.29,-0.09268,3.09
100,-289.77,62.62,95.02,-0.08796,-3.55
100,-277.13,68.89,91.51,-0.08325,-3.55
100,324.12,81.80,87.78,-0.07540,-2.06
100,810.79,94.85,85.42,-0.06912,2.23
100,810.79,96.09,87.05,-0.06597,5.55
100,191.38,86.87,90.42,-0.06283,8.27
100,-503.84,77.96,91.16,-0.06126,4.78
100,-479.58,73.82,88.86,-0.06126,2.88
100,73.00,70.16,84.74,-0.06283,0.29
100,810.79,80.51,80.92,-0.05969,0.10
100,810.79,87.45,80.91,-0.05812,-2.72
100,427.27,91.79,83.45,-0.05812,2.12
100,511.29,93.92,84.12,-0.05969,0.25
100,718.67,87.99,84.59,-0.06440,-0.65
100,433.06,87.14,85.88,-0.06912,-5.82
100,535.94,91.97,85.82,-0.07226,-12.30
100,780.79,101.15,86.30,-0.07383,-2.78
100,523.51,108.96,89.47,-0.08011,-10.93
