CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.72,0.00,-6.57000,0.00000,10.06
100,815.94,136.42,90.43,0.41,0.00000,19.18160,-0.24
100,815.94,136.42,92.55,1.44,-0.09000,19.18160,0.73
100,815.94,136.42,95.68,3.15,-0.09000,17.56480,0.57
100,815.94,136.42,99.54,3.15,-0.27000,17.56480,0.57
100,815.94,136.42,103.94,4.47,-0.36000,18.90640,0.13
100,815.94,136.42,109.16,5.46,-0.45000,18.80320,1.01
100,815.94,136.42,114.61,6.28,-0.81000,19.80080,0.55
100,815.94,136.42,120.82,7.00,-0.99000,19.80080,1.34
100,-815.94,136.42,127.00,7.00,-1.35000,1.50000,1.34
100,-815.94,136.42,127.38,6.49,-1.71000,18.80320,0.07
100,815.94,136.42,124.87,-0.86,-2.07000,19.81800,0.00
100,815.94,136.42,124.97,-1.51,-2.25000,19.49120,-0.78
100,815.94,136.42,127.18,-1.51,-2.52000,19.49120,-0.78
100,-815.94,136.42,131.11,2.34,-2.70000,20.14480,-0.84
100,-815.94,136.42,131.82,4.17,-2.88000,20.14480,-0.30
100,815.94,136.42,130.05,-1.21,-2.97000,19.81800,-0.55
100,815.94,136.42,131.09,0.17,-2.97000,19.81800,-1.22
100,-815.94,136.42,133.66,0.17,-3.06000,3.51240,-1.22
100,815.94,136.42,132.57,2.63,-3.06000,19.81800,0.75
100,815.94,136.42,132.87,-1.34,-3.06000,19.81800,-0.98
100,-815.94,136.42,134.52,1.90,-3.06000,19.81800,0.52
100,815.94,136.42,133.38,1.90,-3.06000,19.81800,0.52
100,-206.59,136.42,134.62,-0.86,-3.06000,19.81800,-0.53
100,815.94,136.42,134.30,1.53,-3.06000,19.81800,0.50
100,815.94,136.42,134.53,-0.92,-3.06000,19.81800,-0.73
100,200.00,136.42,135.35,1.33,-3.15000,19.81800,0.58
100,815.94,136.42,135.09,1.33,-3.15000,5.61080,0.58
100,200.00,136.42,135.36,-0.18,-3.15000,19.83520,-0.23
100,200.00,136.42,135.09,-0.06,-3.15000,19.81800,-0.04
100,-815.94,136.42,135.77,0.08,-3.15000,19.81800,0.10
100,200.00,136.42,136.50,0.08,-3.15000,19.81800,0.10
100,200.00,136.42,136.38,1.04,-3.15000,19.81800,0.08
100,-815.94,136.42,136.07,-0.18,-3.15000,19.74920,0.02
100,815.94,136.42,134.78,-1.03,-3.15000,19.81800,-0.13
100,-511.42,136.42,136.10,0.47,-3.15000,19.81800,0.09
100,200.00,136.42,137.45,0.47,-3.15000,3.47800,0.09
100,200.00,136.42,137.63,1.61,-3.15000,19.81800,0.12
100,-815.94,136.42,137.42,0.01,-3.15000,19.81800,-0.01
100,200.00,136.42,135.41,-1.28,-3.15000,19.83520,-0.22
100,815.94,136.42,134.25,-1.28,-3.15000,19.83520,-0.22
100,815.94,136.42,135.90,-1.65,-3.15000,19.81800,0.21
100,200.00,136.42,137.52,2.15,-3.15000,19.81800,-0.01
100,-815.94,136.42,137.41,1.09,-3.15000,19.81800,-0.04
100,200.00,136.42,134.96,-2.23,-3.15000,19.81800,-0.28
100,815.94,136.42,134.36,-2.23,-3.15000,2.82440,-0.28
100,-815.94,136.42,136.44,-0.74,-3.15000,19.81800,0.08
100,-815.94,136.42,137.88,2.49,-3.15000,19.81800,-0.10
100,200.00,136.42,136.11,-0.22,-3.15000,19.85240,0.01
100,815.94,136.42,133.87,-0.22,-3.15000,19.85240,0.01
100,815.94,136.42,135.03,-2.75,-3.15000,19.81800,0.00
100,200.00,136.42,137.86,1.82,-3.15000,19.81800,0.23
100,-815.94,136.42,137.81,2.31,-3.24000,19.76640,0.38
100,815.94,136.42,134.47,-3.01,-3.15000,19.76640,-0.30
100,815.94,136.42,133.38,-3.01,-3.15000,2.13640,-0.30
100,815.94,136.42,135.36,-1.37,-3.15000,19.81800,0.07
100,-815.94,136.42,138.63,3.05,-3.24000,19.81800,-0.22
100,-815.94,136.42,138.11,1.70,-3.24000,19.81800,0.30
100,815.94,136.42,134.74,1.70,-3.15000,19.81800,0.30
100,815.94,136.42,133.61,-3.58,-3.15000,19.81800,-0.47
100,815.94,136.42,135.70,-0.57,-3.15000,19.83520,0.39
100,-815.94,136.42,138.83,3.41,-3.24000,19.81800,-0.09
100,-815.94,136.42,137.89,0.58,-3.24000,19.81800,-0.15
100,815.94,136.42,134.50,0.58,-3.15000,3.15120,-0.15
100,815.94,136.42,133.91,-3.66,-3.15000,19.81800,0.09
100,815.94,136.42,136.28,0.49,-3.15000,19.81800,0.04
100,-815.94,136.42,138.96,3.57,-3.24000,19.85240,-0.16
100,-815.94,136.42,137.45,3.57,-3.24000,19.85240,-0.16
