CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,815.94,90.00,89.74,0.00,-5.40000,0.00000,10.04
100,815.94,136.42,90.60,0.40,0.00000,7.53720,0.04
100,815.94,136.42,92.80,1.62,-0.09000,7.50280,0.21
100,815.94,136.42,95.90,3.14,-0.09000,7.52000,0.47
100,815.94,136.42,99.64,3.14,-0.18000,7.52000,0.47
100,815.94,136.42,103.85,4.35,-0.27000,19.45680,0.46
100,815.94,136.42,108.74,5.23,-0.45000,7.52000,0.22
100,815.94,136.42,114.01,5.87,-0.63000,19.18160,0.80
100,815.94,136.42,119.32,6.38,-0.81000,19.18160,0.54
100,140.42,136.42,125.19,6.38,-1.08000,1.50000,0.54
100,-815.94,136.42,127.80,6.70,-1.44000,20.85000,0.62
100,815.94,136.42,125.68,0.62,-1.71000,20.47160,0.28
100,815.94,136.42,125.33,-1.74,-2.07000,20.47160,-0.08
100,815.94,136.42,127.21,-1.74,-2.34000,33.87040,-0.08
100,815.94,136.42,130.23,2.09,-2.61000,20.79840,-0.42
100,-815.94,136.42,131.79,3.89,-2.88000,7.53720,-0.41
100,815.94,136.42,130.16,-1.08,-3.15000,21.43480,0.27
100,815.94,136.42,131.05,-1.08,-3.33000,21.43480,0.27
100,-815.94,136.42,133.43,0.62,-3.51000,22.41520,-0.81
100,815.94,136.42,132.46,2.17,-3.69000,21.89920,0.05
100,815.94,136.42,132.76,-1.09,-3.69000,22.08840,-2.09
100,-815.94,136.42,134.46,1.89,-3.78000,22.08840,-0.36
100,815.94,136.42,133.41,1.89,-3.78000,8.17360,-0.36
100,-164.74,136.42,134.67,-0.81,-3.78000,22.03680,-0.06
100,815.94,136.42,134.38,1.48,-3.78000,22.08840,0.35
100,815.94,136.42,134.42,-0.85,-3.78000,22.08840,-0.38
100,-815.94,136.42,135.47,-0.85,-3.87000,22.08840,-0.38
100,815.94,136.42,135.04,1.12,-3.87000,22.01960,0.56
100,200.00,136.42,135.30,-0.06,-3.87000,22.08840,-0.05
100,815.94,136.42,135.16,-0.37,-3.87000,22.08840,-0.20
100,200.00,136.42,135.94,0.89,-3.87000,22.08840,-0.06
100,200.00,136.42,135.74,0.89,-3.87000,9.11960,-0.06
100,200.00,136.42,135.34,-0.22,-3.87000,23.05160,-0.05
100,815.94,136.42,135.37,-0.51,-3.87000,23.05160,0.05
100,200.00,136.42,135.69,0.54,-3.87000,23.03440,0.11
100,200.00,136.42,135.48,0.54,-3.87000,23.03440,0.11
100,815.94,136.42,135.13,-0.22,-3.87000,23.05160,-0.02
100,200.00,136.42,135.76,-0.19,-3.87000,23.05160,-0.03
100,200.00,136.42,135.64,0.44,-3.87000,23.05160,-0.05
100,200.00,136.42,135.33,-0.31,-3.87000,23.05160,-0.05
100,200.00,136.42,135.50,-0.31,-3.87000,8.27680,-0.05
100,200.00,136.42,135.75,0.20,-3.87000,23.05160,0.19
100,200.00,136.42,135.51,0.03,-3.87000,23.05160,0.04
100,815.94,136.42,135.20,-0.38,-3.87000,23.05160,-0.16
100,200.00,136.42,135.80,-0.38,-3.87000,23.05160,-0.16
100,200.00,136.42,135.65,0.49,-3.87000,23.05160,0.08
100,200.00,136.42,135.33,-0.22,-3.87000,23.05160,0.10
100,200.00,136.42,135.59,-0.30,-3.87000,23.05160,0.18
100,200.00,136.42,135.76,0.50,-3.87000,23.05160,-0.25
