SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
721.63,90,90.29,0,-4.05,9.98
815.94,87.65,89.2,0.41,0,0.92
815.94,99.35,89.85,-1.34,0,-1.03
-815.94,88.56,92.37,1.26,-0.09,-0.1
815.94,88.21,89.8,1.17,0,-1.16
815.94,87.96,90.75,-1.84,0,0.47
815.94,91.5,89.98,1.44,0,-0.85
815.94,89.77,89.74,-1.84,0,-0.13
-815.94,89.2,91.24,1.54,-0.09,-0.08
815.94,90.22,89.17,-1.17,0,-0.47
-815.94,89.35,91.17,0.38,-0.09,1.35
815.94,92.88,89.28,0.08,0,-1.75
815.94,90.89,90.49,-0.45,0,1.52
-815.94,88.61,90.7,1.53,-0.09,-0.53
815.94,91.36,89.43,-1.89,0,1.61
-815.94,89.93,91.58,1.88,-0.09,-0.69
815.94,92.15,89.45,-1.6,0,-1.6
-815.94,88.84,91.15,1.12,-0.09,0.23
815.94,87.33,89.76,1.12,-0.09,0.23
815.94,90.29,89.5,-0.98,0,-0.75
-815.94,88.43,90.78,0.08,-0.09,1.47
815.94,90.62,88.81,0.43,0,-1.76
-815.94,88.37,91.04,-1.06,-0.09,1.23
815.94,91.5,89.2,1.84,0,-0.16
815.94,89.39,89.05,-2.14,0,0.27
-815.94,90.22,91.28,1.13,-0.09,-0.34
815.94,89.54,88.97,0.23,0,-1.64
-815.94,87.51,90.6,-0.87,-0.09,1.28
815.94,90.9,89.24,1.23,0,-1.46
815.94,90.03,89.21,-1.7,0,1.66
-815.94,91.89,90.83,1.85,-0.09,-0.81
815.94,92.62,89.61,-1.22,0,-0.76
-815.94,88.09,91.45,1.52,-0.09,-0.28
815.94,88.61,89.1,-1.56,0,-1.67
-815.94,88.52,90.66,0.65,-0.09,0.34
815.94,88.52,89.05,-0.71,0,-0.3
815.94,90.71,89.75,0.18,0,1.58
815.94,90.15,89.81,0.18,-0.09,1.58
815.94,91.34,89.69,0.15,0,-1.56
-815.94,87.07,90.24,0.19,-0.09,1.47
815.94,88.53,88.58,-0.3,0,-1.17
-815.94,90.07,90.65,-0.66,-0.09,1.43
815.94,91.63,89,1.38,0,-0.54
-815.94,89.75,90.79,-1.09,-0.09,1.67
815.94,91.85,89.34,1.48,0,-0.15
815.94,91.06,90.15,-1.52,0,2.3
815.94,92.29,90.52,1.84,-0.09,-0.46
815.94,90.49,90.02,-1.39,-0.09,0.31
-815.94,89.13,91.38,1.43,-0.09,-0.36
815.94,90.06,89.45,-1.43,0,-1.24
-815.94,88.41,91.3,0.86,-0.09,0.3
815.94,89.33,89.11,-0.87,0,-0.19
815.94,90.12,90.4,0.1,-0.09,1.72
815.94,90.78,89.82,0.49,-0.09,-1.67
815.94,91.69,90.04,-0.49,0,1.78
-815.94,88.61,90.73,1,0,0.29
815.94,91.98,88.95,1,0.18,0.29
815.94,90.8,90.93,-1.59,0.27,0.81
815.94,92.22,90.23,1.92,0.36,2.32
815.94,94.84,90.38,-1.05,0.45,0.4
-815.94,92.3,92.47,0.69,0.54,2.06
815.94,93.09,90.68,1,0.45,0.9
-815.94,90.95,92.55,-0.9,0.36,0.21
815.94,91.91,91.05,1.4,0.27,1.19
815.94,90.44,91.88,-1.47,0,-1.27
815.94,88.75,91.33,1.44,-0.27,-1.04
815.94,85.89,91.32,-1.66,-0.36,-5.51
815.94,82.57,90.05,0.73,-0.36,-1.76
815.94,86.72,89.46,-2.1,-0.63,-2.27
-341.48,87.36,89.09,0.84,-0.63,-3.33
815.94,86.39,88.79,-1.41,-0.54,-3.56
-815.94,83.14,88.64,0.85,-0.54,-2.82
815.94,83.86,86.76,-2.19,0,-0.09
-815.94,85.47,87.84,1.14,-0.18,2.29
815.94,91.46,86.23,-1.53,0.18,5.15
406.41,95.38,88.89,-1.53,0.18,5.15
815.94,99.07,89.21,2.25,0.09,5.92
815.94,98.63,91.1,0.19,0.09,2.46
815.94,93,91.35,2.01,-0.09,1.79
815.94,93.12,90.91,-0.75,0,0.91
-815.94,92.67,92.57,0.63,0,1.29
815.94,93.35,90.91,0.14,0.09,1.52
-815.94,91.96,92.93,-0.26,0.09,0.68
815.94,92.3,91.42,1.05,0.18,0.72
815.94,91.02,92.33,-1.01,0.18,0.74
815.94,92.17,91.61,1.11,0.27,1.3
815.94,92.33,91.79,-1.23,0.27,0.26
-312.86,90.86,92.21,1.37,0.18,0.97
815.94,91.52,91.52,-1.35,0.09,-0.46
-815.94,90.69,92.31,1.16,-0.09,-1.13
815.94,89.88,91.17,-1.43,-0.18,-3.81
-815.94,86.4,91.91,1.03,-0.36,-2.55
815.94,84.6,89.65,-2.13,-0.36,-0.94
-815.94,85.92,90.31,0.65,-0.54,0.39
815.94,89.74,89.01,0.65,-0.54,0.39
-815.94,89.35,90.3,-1.11,-0.72,-3.52
815.94,82.48,88.81,0.86,-0.54,-6.46
