CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.42,0.00,-4.68000,0.00000,10.04
100,200.00,150.34,90.41,0.00,-4.68000,0.00000,10.04
100,815.94,150.34,90.39,0.41,0.00000,0.00000,-0.32
100,815.94,150.34,90.39,0.41,0.00000,0.00000,-0.32
100,815.94,150.34,90.43,0.41,0.00000,0.00000,-0.32
100,815.94,150.34,90.52,0.41,0.00000,31.54840,-0.32
100,815.94,150.34,90.64,0.41,0.00000,31.54840,-0.32
100,815.94,150.34,90.80,0.41,0.00000,31.54840,-0.32
100,815.94,150.34,91.00,0.41,0.00000,31.54840,-0.32
100,815.94,150.34,91.22,0.41,0.00000,31.54840,-0.32
100,815.94,150.34,91.46,0.41,0.00000,31.54840,-0.32
100,815.94,150.34,91.73,0.41,0.00000,31.54840,-0.32
100,815.94,150.34,91.93,0.41,0.00000,31.54840,-0.32
100,815.94,150.34,92.11,0.41,-0.09000,31.54840,-0.32
100,815.94,150.34,92.51,1.52,-0.09000,31.54840,0.77
100,815.94,150.34,92.83,1.52,-0.09000,18.30440,0.77
100,815.94,150.34,93.23,1.52,-0.09000,18.30440,0.77
100,815.94,150.34,93.62,1.52,-0.09000,18.30440,0.77
100,815.94,150.34,94.01,1.52,-0.09000,18.30440,0.77
100,815.94,150.34,94.43,1.52,-0.18000,18.30440,0.77
100,815.94,150.34,94.86,1.52,-0.18000,18.30440,0.77
100,815.94,150.34,95.32,1.52,-0.18000,18.30440,0.77
100,815.94,150.34,95.77,1.52,-0.18000,18.30440,0.77
100,815.94,150.34,96.11,1.52,-0.18000,18.30440,0.77
100,815.94,150.34,96.74,3.59,-0.18000,18.30440,0.52
100,815.94,150.34,97.22,3.59,-0.18000,18.30440,0.52
100,815.94,150.34,97.74,3.59,-0.18000,34.74760,0.52
100,815.94,150.34,98.27,3.59,-0.27000,34.74760,0.52
100,815.94,150.34,98.81,3.59,-0.27000,34.74760,0.52
100,815.94,150.34,99.35,3.59,-0.27000,34.74760,0.52
100,815.94,150.34,99.90,3.59,-0.27000,34.74760,0.52
100,815.94,150.34,100.44,3.59,-0.27000,34.74760,0.52
100,815.94,150.34,101.01,3.59,-0.27000,34.74760,0.52
100,815.94,150.34,101.41,3.59,-0.27000,34.74760,0.52
100,815.94,150.34,102.18,4.69,-0.27000,34.74760,0.38
100,815.94,150.34,102.75,4.69,-0.27000,34.74760,0.38
100,815.94,150.34,103.38,4.69,-0.27000,34.67880,0.38
100,815.94,150.34,104.01,4.69,-0.27000,34.67880,0.38
100,815.94,150.34,104.61,4.69,-0.27000,34.67880,0.38
100,815.94,150.34,105.27,4.69,-0.36000,34.67880,0.38
100,815.94,150.34,105.90,4.69,-0.36000,34.67880,0.38
100,815.94,150.34,106.56,4.69,-0.36000,34.67880,0.38
100,815.94,150.34,107.21,4.69,-0.36000,34.67880,0.38
100,815.94,150.34,107.67,4.69,-0.36000,34.67880,0.38
100,815.94,150.34,108.52,5.52,-0.45000,34.67880,0.20
100,815.94,150.34,109.16,5.52,-0.45000,34.67880,0.20
100,815.94,150.34,109.84,5.52,-0.45000,33.11360,0.20
100,815.94,150.34,110.52,5.52,-0.45000,33.11360,0.20
100,815.94,150.34,111.21,5.52,-0.54000,33.11360,0.20
100,815.94,150.34,111.64,5.52,-0.54000,33.11360,0.20
100,815.94,150.34,112.34,5.52,-0.54000,33.11360,0.20
100,815.94,150.34,113.03,5.52,-0.54000,33.11360,0.20
100,815.94,150.34,113.72,5.52,-0.54000,33.11360,0.20
100,815.94,150.34,114.22,5.52,-0.63000,33.11360,0.20
100,815.94,150.34,115.12,5.68,-0.63000,33.11360,0.45
100,815.94,150.34,115.81,5.68,-0.63000,33.11360,0.45
100,815.94,150.34,116.56,5.68,-0.63000,33.40600,0.45
100,815.94,150.34,117.28,5.68,-0.63000,33.40600,0.45
100,815.94,150.34,118.02,5.68,-0.72000,33.40600,0.45
100,815.94,150.34,118.76,5.68,-0.72000,33.40600,0.45
100,815.94,150.34,119.50,5.68,-0.72000,33.40600,0.45
100,815.94,150.34,120.23,5.68,-0.72000,33.40600,0.45
100,815.94,150.34,120.99,5.68,-0.81000,33.40600,0.45
100,815.94,150.34,121.51,5.68,-0.81000,33.40600,0.45
100,815.94,150.34,122.49,6.42,-0.90000,33.40600,0.76
100,815.94,150.34,123.24,6.42,-0.90000,33.40600,0.76
100,815.94,150.34,124.03,6.42,-0.90000,33.23400,0.76
100,815.94,150.34,124.78,6.42,-0.99000,33.23400,0.76
100,815.94,150.34,125.37,6.42,-0.99000,33.23400,0.76
100,815.94,150.34,126.12,6.42,-1.08000,33.23400,0.76
100,815.94,150.34,126.90,6.42,-1.08000,33.23400,0.76
100,815.94,150.34,127.71,6.42,-1.17000,33.23400,0.76
100,815.94,150.34,128.48,6.42,-1.17000,33.23400,0.76
100,815.94,150.34,129.03,6.42,-1.17000,33.23400,0.76
100,815.94,150.34,130.08,6.73,-1.26000,33.23400,1.20
100,815.94,150.34,130.85,6.73,-1.26000,33.23400,1.20
100,815.94,150.34,131.66,6.73,-1.35000,34.05960,1.20
100,815.94,150.34,132.47,6.73,-1.35000,34.05960,1.20
100,815.94,150.34,133.30,6.73,-1.44000,34.05960,1.20
100,815.94,150.34,134.14,6.73,-1.44000,34.05960,1.20
100,815.94,150.34,134.93,6.73,-1.53000,34.05960,1.20
100,815.94,150.34,135.78,6.73,-1.53000,34.05960,1.20
100,815.94,150.34,136.62,6.73,-1.62000,34.05960,1.20
100,815.94,150.34,137.24,6.73,-1.71000,34.05960,1.20
100,815.94,150.34,138.26,7.18,-1.80000,34.05960,0.69
100,815.94,150.34,138.84,7.18,-1.80000,34.05960,0.69
100,815.94,150.34,139.70,7.18,-1.89000,32.99320,0.69
100,815.94,150.34,140.55,7.18,-1.98000,32.99320,0.69
100,815.94,150.34,141.43,7.18,-1.98000,32.99320,0.69
100,815.94,150.34,141.98,7.18,-2.07000,32.99320,0.69
100,815.94,150.34,143.17,7.18,-2.16000,32.99320,0.69
100,815.94,150.34,144.50,7.18,-2.25000,32.99320,0.69
100,815.94,150.34,145.86,7.18,-2.34000,32.99320,0.69
100,815.94,150.34,147.19,7.73,-2.43000,32.99320,1.79
100,815.94,150.34,148.59,7.73,-2.52000,11.33840,1.79
100,815.94,150.34,149.99,7.73,-2.61000,11.33840,1.79
100,815.94,150.34,151.40,7.73,-2.79000,11.33840,1.79
100,815.94,150.34,152.68,7.73,-2.88000,11.33840,1.79
100,815.94,150.34,154.14,7.73,-2.97000,11.33840,1.79
100,815.94,150.34,155.60,7.73,-3.15000,11.33840,1.79
100,815.94,150.34,157.07,8.30,-3.24000,11.33840,0.27
100,815.94,150.34,158.60,8.30,-3.33000,10.70200,0.27
100,815.94,150.34,160.21,8.30,-3.42000,10.70200,0.27
100,815.94,150.34,161.77,8.30,-3.51000,10.70200,0.27
100,815.94,150.34,163.39,8.30,-3.60000,10.70200,0.27
100,815.94,150.34,164.90,8.30,-3.78000,10.70200,0.27
100,815.94,150.34,166.50,8.30,-3.96000,10.70200,0.27
100,-815.94,150.34,168.03,9.23,-4.14000,10.70200,-0.06
100,-815.94,150.34,169.37,9.23,-4.23000,14.05600,-0.06
100,-815.94,150.34,169.86,9.23,-4.32000,14.05600,-0.06
100,-815.94,150.34,170.76,9.23,-4.41000,14.05600,-0.06
100,-815.94,150.34,171.32,9.23,-4.41000,14.05600,-0.06
100,-815.94,150.34,171.78,9.23,-4.50000,14.05600,-0.06
100,-815.94,150.34,172.15,9.23,-4.59000,14.05600,-0.06
100,-815.94,150.34,172.42,9.23,-4.59000,14.05600,-0.06
100,-815.94,150.34,172.59,9.23,-4.68000,14.05600,-0.06
100,-815.94,150.34,172.67,5.01,-4.77000,14.05600,-1.18
100,-815.94,150.34,172.66,5.01,-4.86000,14.05600,-1.18
100,-815.94,150.34,172.58,5.01,-5.04000,28.05680,-1.18
100,-815.94,150.34,172.43,5.01,-5.13000,28.05680,-1.18
100,-815.94,150.34,172.21,5.01,-5.22000,28.05680,-1.18
100,-815.94,150.34,171.93,5.01,-5.22000,28.05680,-1.18
100,-815.94,150.34,171.59,5.01,-5.31000,28.05680,-1.18
100,-815.94,150.34,171.17,5.01,-5.40000,28.05680,-1.18
100,-815.94,150.34,170.72,5.01,-5.40000,28.05680,-1.18
100,-815.94,150.34,170.34,5.01,-5.40000,28.05680,-1.18
100,-815.94,150.34,169.64,-2.20,-5.49000,28.05680,-1.50
100,-815.94,150.34,169.06,-2.20,-5.58000,28.05680,-1.50
100,-815.94,150.34,168.38,-2.20,-5.58000,34.95400,-1.50
100,-815.94,150.34,167.68,-2.20,-5.67000,34.95400,-1.50
100,-815.94,150.34,166.94,-2.20,-5.76000,34.95400,-1.50
100,-815.94,150.34,166.16,-2.20,-5.76000,34.95400,-1.50
100,-815.94,150.34,164.93,-2.20,-5.76000,34.95400,-1.50
100,-815.94,150.34,163.58,-2.20,-5.76000,34.95400,-1.50
100,-815.94,150.34,162.16,-2.20,-5.76000,34.95400,-1.50
100,-815.94,150.34,160.69,-6.77,-5.76000,34.95400,-6.04
100,-815.94,150.34,159.41,-6.77,-5.76000,13.11000,-6.04
100,-815.94,150.34,157.93,-6.77,-5.76000,13.11000,-6.04
100,-815.94,150.34,156.24,-6.77,-5.76000,13.11000,-6.04
100,-815.94,150.34,154.45,-6.77,-5.67000,13.11000,-6.04
100,-815.94,150.34,152.59,-6.77,-5.67000,13.11000,-6.04
100,-815.94,150.34,150.75,-6.77,-5.58000,13.11000,-6.04
100,815.94,150.34,149.43,-6.77,-5.58000,13.11000,-6.04
100,815.94,150.34,148.04,-9.80,-5.49000,13.11000,-3.00
100,815.94,150.34,146.60,-9.80,-5.40000,5.93760,-3.00
100,815.94,150.34,145.32,-9.80,-5.22000,5.93760,-3.00
100,815.94,150.34,144.56,-9.80,-5.22000,5.93760,-3.00
100,815.94,150.34,143.92,-9.80,-5.13000,5.93760,-3.00
100,815.94,150.34,143.32,-9.80,-5.04000,5.93760,-3.00
100,815.94,150.34,142.82,-9.80,-5.04000,5.93760,-3.00
100,815.94,150.34,142.40,-9.80,-4.95000,5.93760,-3.00
100,815.94,150.34,142.14,-9.80,-4.95000,5.93760,-3.00
100,815.94,150.34,141.78,-6.12,-4.95000,5.93760,-2.46
100,815.94,150.34,141.58,-6.12,-4.86000,5.93760,-2.46
100,815.94,150.34,141.47,-6.12,-4.86000,5.93760,-2.46
100,815.94,150.34,141.42,-6.12,-4.77000,5.93760,-2.46
100,815.94,150.34,141.44,-6.12,-4.68000,5.93760,-2.46
100,815.94,150.34,141.51,-6.12,-4.59000,5.93760,-2.46
100,815.94,150.34,141.65,-6.12,-4.59000,5.93760,-2.46
100,815.94,150.34,141.83,-6.12,-4.50000,5.93760,-2.46
100,815.94,150.34,142.07,-6.12,-4.50000,5.93760,-2.46
100,815.94,150.34,142.32,0.16,-4.50000,5.93760,3.66
100,815.94,150.34,142.61,0.16,-4.50000,5.93760,3.66
100,815.94,150.34,142.94,0.16,-4.50000,27.52360,3.66
100,815.94,150.34,143.30,0.16,-4.50000,27.52360,3.66
100,815.94,150.34,143.70,0.16,-4.50000,27.52360,3.66
100,815.94,150.34,144.12,0.16,-4.50000,27.52360,3.66
100,815.94,150.34,144.56,0.16,-4.50000,27.52360,3.66
100,815.94,150.34,145.03,0.16,-4.50000,27.52360,3.66
100,815.94,150.34,145.54,0.16,-4.50000,27.52360,3.66
100,815.94,150.34,145.88,0.16,-4.50000,27.52360,3.66
100,815.94,150.34,146.59,3.68,-4.50000,27.52360,6.96
100,815.94,150.34,147.13,3.68,-4.59000,27.52360,6.96
100,815.94,150.34,147.73,3.68,-4.59000,34.38640,6.96
100,815.94,150.34,148.33,3.68,-4.59000,34.38640,6.96
100,815.94,150.34,148.94,3.68,-4.59000,34.38640,6.96
100,815.94,150.34,149.58,3.68,-4.59000,34.38640,6.96
100,815.94,150.34,150.24,3.68,-4.68000,34.38640,6.96
100,815.94,150.34,150.90,3.68,-4.68000,34.38640,6.96
100,815.94,150.34,151.62,3.68,-4.68000,34.38640,6.96
100,815.94,150.34,152.10,3.68,-4.68000,34.38640,6.96
100,815.94,150.34,153.03,5.29,-4.77000,34.38640,0.53
100,815.94,150.34,153.77,5.29,-4.77000,34.38640,0.53
100,815.94,150.34,154.54,5.29,-4.77000,33.49200,0.53
100,815.94,150.34,155.33,5.29,-4.77000,33.49200,0.53
100,815.94,150.34,156.12,5.29,-4.77000,33.49200,0.53
100,-815.94,150.34,156.87,5.29,-4.86000,33.49200,0.53
100,-815.94,150.34,157.50,5.29,-4.86000,33.49200,0.53
100,-815.94,150.34,158.04,5.29,-4.86000,33.49200,0.53
100,-815.94,150.34,158.46,5.29,-4.95000,33.49200,0.53
100,-815.94,150.34,158.70,5.29,-4.95000,33.49200,0.53
100,-815.94,150.34,158.83,5.29,-4.95000,33.49200,0.53
100,-815.94,150.34,159.00,5.56,-5.04000,33.49200,0.13
100,-815.94,150.34,159.11,5.56,-5.04000,5.88600,0.13
100,-815.94,150.34,159.13,5.56,-5.04000,5.88600,0.13
100,-815.94,150.34,159.06,5.56,-5.13000,5.88600,0.13
100,-815.94,150.34,158.91,5.56,-5.13000,5.88600,0.13
100,-815.94,150.34,158.69,5.56,-5.13000,5.88600,0.13
100,-815.94,150.34,158.40,5.56,-5.22000,5.88600,0.13
100,-815.94,150.34,158.05,5.56,-5.22000,5.88600,0.13
100,-815.94,150.34,157.65,5.56,-5.22000,5.88600,0.13
100,-815.94,150.34,157.34,5.56,-5.22000,5.88600,0.13
100,-815.94,150.34,156.68,-1.65,-5.22000,5.88600,-1.13
100,-815.94,150.34,156.12,-1.65,-5.22000,5.88600,-1.13
