CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.48,0.00,-6.84000,0.00000,10.06
100,200.00,90.00,90.53,0.00,-6.84000,0.00000,10.06
100,200.00,150.34,90.59,0.00,0.00000,0.00000,-0.09
100,815.94,150.34,90.65,0.42,0.00000,0.00000,-0.09
100,815.94,150.34,90.73,0.42,0.00000,0.00000,-0.09
100,815.94,150.34,90.84,0.42,0.00000,29.69080,-0.09
100,815.94,150.34,90.97,0.42,0.00000,29.69080,-0.09
100,815.94,150.34,91.15,0.42,0.00000,29.69080,-0.09
100,815.94,150.34,91.35,0.42,0.00000,29.69080,-0.09
100,815.94,150.34,91.58,0.42,0.00000,29.69080,-0.09
100,815.94,150.34,91.84,0.42,0.00000,29.69080,-0.09
100,815.94,150.34,92.12,0.42,-0.09000,29.69080,-0.09
100,815.94,150.34,92.32,0.42,-0.09000,29.69080,-0.09
100,815.94,150.34,92.46,0.42,-0.09000,29.69080,-0.09
100,815.94,150.34,92.72,1.63,-0.09000,29.69080,0.43
100,815.94,150.34,93.06,1.63,-0.09000,29.69080,0.43
100,815.94,150.34,93.43,1.63,-0.09000,23.82560,0.43
100,815.94,150.34,93.81,1.63,-0.09000,23.82560,0.43
100,815.94,150.34,94.22,1.63,-0.09000,23.82560,0.43
100,815.94,150.34,94.62,1.63,-0.09000,23.82560,0.43
100,815.94,150.34,95.05,1.63,-0.18000,23.82560,0.43
100,815.94,150.34,95.50,1.63,-0.18000,23.82560,0.43
100,815.94,150.34,95.95,1.63,-0.18000,23.82560,0.43
100,815.94,150.34,96.27,1.63,-0.18000,23.82560,0.43
100,815.94,150.34,96.89,3.61,-0.18000,23.82560,0.75
100,815.94,150.34,97.37,3.61,-0.27000,23.82560,0.75
100,815.94,150.34,97.87,3.61,-0.27000,34.64440,0.75
100,815.94,150.34,98.39,3.61,-0.27000,34.64440,0.75
100,815.94,150.34,98.63,3.61,-0.27000,34.64440,0.75
