CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.15,0.00,-5.40000,0.00000,10.01
100,200.00,90.00,89.11,0.00,-5.40000,0.00000,10.01
100,815.94,150.34,89.06,0.00,0.00000,0.00000,-0.05
100,815.94,150.34,89.04,0.41,0.00000,0.00000,-0.05
100,815.94,150.34,89.07,0.41,0.00000,0.00000,-0.05
100,815.94,150.34,89.15,0.41,0.00000,30.37880,-0.05
100,815.94,150.34,89.26,0.41,0.00000,30.37880,-0.05
100,815.94,150.34,89.40,0.41,0.00000,30.37880,-0.05
100,815.94,150.34,89.57,0.41,0.00000,30.37880,-0.05
100,815.94,150.34,89.76,0.41,0.00000,30.37880,-0.05
100,815.94,150.34,89.99,0.41,0.00000,30.37880,-0.05
100,815.94,150.34,90.24,0.41,0.00000,30.37880,-0.05
100,815.94,150.34,90.45,0.41,0.00000,30.37880,-0.05
100,815.94,150.34,90.83,1.35,0.00000,30.37880,0.10
100,815.94,150.34,91.14,1.35,0.00000,30.37880,0.10
100,815.94,150.34,91.48,1.35,0.00000,32.90720,0.10
100,815.94,150.34,91.84,1.35,0.00000,32.90720,0.10
100,815.94,150.34,92.20,1.35,0.00000,32.90720,0.10
100,815.94,150.34,92.59,1.35,0.00000,32.90720,0.10
100,815.94,150.34,93.00,1.35,-0.09000,32.90720,0.10
100,815.94,150.34,93.42,1.35,-0.09000,32.90720,0.10
100,815.94,150.34,93.85,1.35,-0.09000,32.90720,0.10
100,815.94,150.34,94.15,1.35,-0.09000,32.90720,0.10
100,815.94,150.34,94.37,1.35,-0.09000,32.90720,0.10
100,815.94,150.34,94.75,3.26,-0.09000,32.90720,0.84
100,815.94,150.34,95.22,3.26,-0.18000,32.90720,0.84
100,815.94,150.34,95.70,3.26,-0.18000,24.32440,0.84
100,815.94,150.34,96.21,3.26,-0.18000,24.32440,0.84
100,815.94,150.34,96.69,3.26,-0.18000,24.32440,0.84
100,815.94,150.34,97.22,3.26,-0.18000,24.32440,0.84
100,815.94,150.34,97.73,3.26,-0.18000,24.32440,0.84
100,815.94,150.34,98.25,3.26,-0.18000,24.32440,0.84
100,815.94,150.34,98.79,3.26,-0.18000,24.32440,0.84
100,815.94,150.34,99.18,3.26,-0.18000,24.32440,0.84
100,815.94,150.34,99.89,4.52,-0.27000,24.32440,0.01
100,815.94,150.34,100.43,4.52,-0.27000,24.32440,0.01
100,815.94,150.34,101.01,4.52,-0.27000,34.40360,0.01
100,815.94,150.34,101.59,4.52,-0.27000,34.40360,0.01
100,815.94,150.34,102.17,4.52,-0.27000,34.40360,0.01
100,815.94,150.34,102.78,4.52,-0.27000,34.40360,0.01
100,815.94,150.34,103.07,4.52,-0.27000,34.40360,0.01
100,815.94,150.34,103.69,4.52,-0.27000,34.40360,0.01
100,815.94,150.34,104.29,4.52,-0.27000,34.40360,0.01
100,815.94,150.34,104.72,4.52,-0.27000,34.40360,0.01
100,815.94,150.34,105.50,5.14,-0.36000,34.40360,-0.03
100,815.94,150.34,106.13,5.14,-0.36000,34.40360,-0.03
100,815.94,150.34,106.77,5.14,-0.36000,34.86800,-0.03
100,815.94,150.34,107.41,5.14,-0.36000,34.86800,-0.03
100,815.94,150.34,108.05,5.14,-0.36000,34.86800,-0.03
100,815.94,150.34,108.70,5.14,-0.36000,34.86800,-0.03
100,815.94,150.34,109.36,5.14,-0.36000,34.86800,-0.03
100,815.94,150.34,110.02,5.14,-0.45000,34.86800,-0.03
100,815.94,150.34,110.70,5.14,-0.45000,34.86800,-0.03
100,815.94,150.34,111.16,5.14,-0.45000,34.86800,-0.03
100,815.94,150.34,112.03,5.41,-0.45000,34.86800,0.71
100,815.94,150.34,112.69,5.41,-0.54000,34.86800,0.71
100,815.94,150.34,113.38,5.41,-0.54000,32.89000,0.71
100,815.94,150.34,114.08,5.41,-0.54000,32.89000,0.71
100,815.94,150.34,114.77,5.41,-0.63000,32.89000,0.71
100,815.94,150.34,115.47,5.41,-0.63000,32.89000,0.71
100,815.94,150.34,116.17,5.41,-0.63000,32.89000,0.71
100,815.94,150.34,116.59,5.41,-0.63000,32.89000,0.71
100,815.94,150.34,117.30,5.41,-0.72000,32.89000,0.71
100,815.94,150.34,117.81,5.41,-0.72000,32.89000,0.71
100,815.94,150.34,118.74,6.35,-0.72000,32.89000,0.71
100,815.94,150.34,119.43,6.35,-0.72000,32.89000,0.71
100,815.94,150.34,120.17,6.35,-0.81000,34.43800,0.71
100,815.94,150.34,120.88,6.35,-0.81000,34.43800,0.71
100,815.94,150.34,121.62,6.35,-0.81000,34.43800,0.71
100,815.94,150.34,122.35,6.35,-0.90000,34.43800,0.71
100,815.94,150.34,123.07,6.35,-0.90000,34.43800,0.71
100,815.94,150.34,123.82,6.35,-0.90000,34.43800,0.71
100,815.94,150.34,124.57,6.35,-0.99000,34.43800,0.71
100,815.94,150.34,125.08,6.35,-0.99000,34.43800,0.71
100,815.94,150.34,126.03,6.08,-1.08000,34.43800,1.30
100,815.94,150.34,126.78,6.08,-1.08000,34.43800,1.30
100,815.94,150.34,127.57,6.08,-1.17000,33.30280,1.30
100,815.94,150.34,128.34,6.08,-1.26000,33.30280,1.30
100,815.94,150.34,129.10,6.08,-1.26000,33.30280,1.30
100,815.94,150.34,129.63,6.08,-1.35000,33.30280,1.30
100,815.94,150.34,130.41,6.08,-1.44000,33.30280,1.30
100,815.94,150.34,131.21,6.08,-1.44000,33.30280,1.30
100,815.94,150.34,132.00,6.08,-1.53000,33.30280,1.30
100,815.94,150.34,132.56,6.08,-1.53000,33.30280,1.30
100,815.94,150.34,133.57,6.73,-1.62000,33.30280,0.46
100,815.94,150.34,134.37,6.73,-1.62000,33.30280,0.46
100,815.94,150.34,135.21,6.73,-1.71000,33.90480,0.46
100,815.94,150.34,136.06,6.73,-1.71000,33.90480,0.46
100,815.94,150.34,136.88,6.73,-1.80000,33.90480,0.46
100,815.94,150.34,137.75,6.73,-1.89000,33.90480,0.46
100,815.94,150.34,138.58,6.73,-1.89000,33.90480,0.46
100,815.94,150.34,139.45,6.73,-1.98000,33.90480,0.46
100,815.94,150.34,140.31,6.73,-2.07000,33.90480,0.46
100,815.94,150.34,140.97,6.73,-2.07000,33.90480,0.46
100,815.94,150.34,142.04,7.36,-2.16000,33.90480,0.74
100,815.94,150.34,143.02,7.36,-2.25000,22.41520,0.74
100,815.94,150.34,144.07,7.36,-2.34000,22.41520,0.74
100,815.94,150.34,144.68,7.36,-2.43000,22.41520,0.74
100,815.94,150.34,145.92,7.36,-2.52000,22.41520,0.74
100,815.94,150.34,147.29,7.36,-2.61000,22.41520,0.74
100,815.94,150.34,148.69,7.36,-2.70000,22.41520,0.74
100,815.94,150.34,150.15,7.36,-2.79000,22.41520,0.74
100,815.94,150.34,151.58,8.21,-2.88000,22.41520,1.58
100,815.94,150.34,153.09,8.21,-2.97000,12.26720,1.58
100,815.94,150.34,154.62,8.21,-3.06000,12.26720,1.58
100,815.94,150.34,156.13,8.21,-3.24000,12.26720,1.58
100,815.94,150.34,157.46,8.21,-3.33000,12.26720,1.58
100,815.94,150.34,159.07,8.21,-3.51000,12.26720,1.58
100,-815.94,150.34,160.47,8.21,-3.60000,12.26720,1.58
100,-815.94,150.34,161.60,8.63,-3.60000,12.26720,-0.60
100,-815.94,150.34,162.26,8.63,-3.69000,12.26720,-0.60
100,-815.94,150.34,162.83,8.63,-3.78000,33.59520,-0.60
100,-815.94,150.34,163.29,8.63,-3.78000,33.59520,-0.60
100,-815.94,150.34,163.65,8.63,-3.87000,33.59520,-0.60
100,-815.94,150.34,163.91,8.63,-3.87000,33.59520,-0.60
100,-815.94,150.34,164.07,8.63,-3.96000,33.59520,-0.60
100,-815.94,150.34,164.15,8.63,-4.05000,33.59520,-0.60
100,-815.94,150.34,164.15,8.63,-4.14000,33.59520,-0.60
100,-815.94,150.34,164.08,8.63,-4.23000,33.59520,-0.60
100,-815.94,150.34,163.96,2.75,-4.23000,33.59520,-0.48
100,-815.94,150.34,163.77,2.75,-4.32000,33.59520,-0.48
100,-815.94,150.34,163.50,2.75,-4.41000,28.79640,-0.48
100,-815.94,150.34,163.18,2.75,-4.41000,28.79640,-0.48
100,-815.94,150.34,162.80,2.75,-4.50000,28.79640,-0.48
100,-815.94,150.34,162.37,2.75,-4.50000,28.79640,-0.48
100,-815.94,150.34,161.90,2.75,-4.59000,28.79640,-0.48
100,-815.94,150.34,161.36,2.75,-4.59000,28.79640,-0.48
100,-815.94,150.34,160.81,2.75,-4.68000,28.79640,-0.48
100,-815.94,150.34,160.36,2.75,-4.68000,28.79640,-0.48
100,-815.94,150.34,159.52,-3.68,-4.77000,28.79640,-0.95
100,-815.94,150.34,158.84,-3.68,-4.86000,28.79640,-0.95
100,-815.94,150.34,158.08,-3.68,-4.86000,35.19480,-0.95
100,-815.94,150.34,157.30,-3.68,-4.86000,35.19480,-0.95
100,-815.94,150.34,156.78,-3.68,-4.86000,35.19480,-0.95
100,-815.94,150.34,155.64,-3.68,-4.86000,35.19480,-0.95
100,-815.94,150.34,154.26,-3.68,-4.86000,35.19480,-0.95
100,-815.94,150.34,152.82,-3.68,-4.86000,35.19480,-0.95
100,815.94,150.34,151.33,-3.68,-4.86000,35.19480,-0.95
100,815.94,150.34,150.08,-7.32,-4.86000,35.19480,-4.37
100,815.94,150.34,149.31,-7.32,-4.86000,35.19480,-4.37
100,815.94,150.34,148.60,-7.32,-4.77000,33.99080,-4.37
100,815.94,150.34,147.97,-7.32,-4.77000,33.99080,-4.37
100,815.94,150.34,147.45,-7.32,-4.77000,33.99080,-4.37
100,815.94,150.34,147.00,-7.32,-4.77000,33.99080,-4.37
100,815.94,150.34,146.63,-7.32,-4.77000,33.99080,-4.37
100,815.94,150.34,146.33,-7.32,-4.77000,33.99080,-4.37
100,815.94,150.34,146.12,-7.32,-4.77000,33.99080,-4.37
100,815.94,150.34,145.99,-7.32,-4.77000,33.99080,-4.37
100,815.94,150.34,145.93,-4.23,-4.68000,33.99080,-1.20
100,815.94,150.34,145.93,-4.23,-4.68000,33.99080,-1.20
100,815.94,150.34,145.99,-4.23,-4.68000,28.12560,-1.20
100,815.94,150.34,146.12,-4.23,-4.68000,28.12560,-1.20
100,815.94,150.34,146.30,-4.23,-4.68000,28.12560,-1.20
100,815.94,150.34,146.53,-4.23,-4.68000,28.12560,-1.20
100,815.94,150.34,146.80,-4.23,-4.68000,28.12560,-1.20
100,815.94,150.34,147.11,-4.23,-4.68000,28.12560,-1.20
100,815.94,150.34,147.46,-4.23,-4.68000,28.12560,-1.20
100,815.94,150.34,147.73,-4.23,-4.68000,28.12560,-1.20
100,815.94,150.34,148.29,1.72,-4.68000,28.12560,1.26
100,815.94,150.34,148.73,1.72,-4.68000,28.12560,1.26
100,815.94,150.34,149.23,1.72,-4.68000,34.71320,1.26
100,815.94,150.34,149.77,1.72,-4.68000,34.71320,1.26
100,815.94,150.34,150.31,1.72,-4.68000,34.71320,1.26
100,815.94,150.34,150.91,1.72,-4.68000,34.71320,1.26
100,815.94,150.34,151.50,1.72,-4.68000,34.71320,1.26
100,200.00,150.34,152.13,1.72,-4.68000,34.71320,1.26
100,815.94,150.34,152.75,1.72,-4.68000,34.71320,1.26
100,815.94,150.34,153.17,1.72,-4.68000,34.71320,1.26
100,-815.94,150.34,154.01,4.88,-4.77000,34.71320,0.27
100,-815.94,150.34,154.55,4.88,-4.77000,34.71320,0.27
100,-815.94,150.34,155.01,4.88,-4.77000,32.06440,0.27
100,-815.94,150.34,155.38,4.88,-4.77000,32.06440,0.27
100,-815.94,150.34,155.63,4.88,-4.77000,32.06440,0.27
100,-815.94,150.34,155.79,4.88,-4.77000,32.06440,0.27
100,-815.94,150.34,155.86,4.88,-4.77000,32.06440,0.27
100,-815.94,150.34,155.84,4.88,-4.77000,32.06440,0.27
100,-815.94,150.34,155.75,4.88,-4.77000,32.06440,0.27
100,-815.94,150.34,155.57,4.88,-4.77000,32.06440,0.27
100,-815.94,150.34,155.35,1.64,-4.77000,32.06440,-0.08
100,-815.94,150.34,155.05,1.64,-4.77000,32.06440,-0.08
100,-815.94,150.34,154.68,1.64,-4.77000,29.14040,-0.08
100,-815.94,150.34,154.24,1.64,-4.77000,29.14040,-0.08
100,-815.94,150.34,153.77,1.64,-4.77000,29.14040,-0.08
100,-815.94,150.34,153.24,1.64,-4.77000,29.14040,-0.08
100,-815.94,150.34,152.66,1.64,-4.77000,29.14040,-0.08
100,-815.94,150.34,152.02,1.64,-4.77000,29.14040,-0.08
100,815.94,150.34,151.41,1.64,-4.77000,29.14040,-0.08
100,815.94,150.34,151.01,1.64,-4.77000,29.14040,-0.08
100,815.94,150.34,150.36,-4.39,-4.68000,29.14040,-0.49
100,815.94,150.34,149.98,-4.39,-4.68000,29.14040,-0.49
100,815.94,150.34,149.65,-4.39,-4.68000,31.96120,-0.49
100,200.00,150.34,149.37,-4.39,-4.68000,31.96120,-0.49
100,200.00,150.34,149.09,-4.39,-4.68000,31.96120,-0.49
100,200.00,150.34,148.83,-4.39,-4.68000,31.96120,-0.49
100,815.94,150.34,148.60,-4.39,-4.68000,31.96120,-0.49
100,815.94,150.34,148.46,-4.39,-4.68000,31.96120,-0.49
100,815.94,150.34,148.37,-4.39,-4.68000,31.96120,-0.49
100,815.94,150.34,148.36,-4.39,-4.68000,31.96120,-0.49
100,815.94,150.34,148.39,-2.07,-4.68000,31.96120,0.15
100,815.94,150.34,148.48,-2.07,-4.68000,31.96120,0.15
100,815.94,150.34,148.63,-2.07,-4.68000,28.46960,0.15
100,815.94,150.34,148.82,-2.07,-4.68000,28.46960,0.15
100,815.94,150.34,149.06,-2.07,-4.68000,28.46960,0.15
100,815.94,150.34,149.35,-2.07,-4.68000,28.46960,0.15
100,815.94,150.34,149.67,-2.07,-4.68000,28.46960,0.15
100,815.94,150.34,150.02,-2.07,-4.68000,28.46960,0.15
100,815.94,150.34,150.43,-2.07,-4.68000,28.46960,0.15
100,200.00,150.34,150.72,-2.07,-4.68000,28.46960,0.15
100,200.00,150.34,151.22,2.23,-4.68000,28.46960,0.02
100,200.00,150.34,151.57,2.23,-4.68000,28.46960,0.02
100,200.00,150.34,151.93,2.23,-4.77000,33.18240,0.02
100,815.94,150.34,152.27,2.23,-4.77000,33.18240,0.02
100,-815.94,150.34,152.62,2.23,-4.77000,33.18240,0.02
100,-815.94,150.34,152.88,2.23,-4.77000,33.18240,0.02
100,-815.94,150.34,153.03,2.23,-4.77000,33.18240,0.02
100,-815.94,150.34,153.08,2.23,-4.77000,33.18240,0.02
100,-815.94,150.34,153.05,2.23,-4.77000,33.18240,0.02
100,-815.94,150.34,152.94,2.23,-4.77000,33.18240,0.02
100,-815.94,150.34,152.76,1.72,-4.77000,33.18240,0.20
100,-815.94,150.34,152.51,1.72,-4.77000,33.18240,0.20
100,-815.94,150.34,152.19,1.72,-4.77000,29.53600,0.20
100,-815.94,150.34,151.82,1.72,-4.77000,29.53600,0.20
100,815.94,150.34,151.44,1.72,-4.77000,29.53600,0.20
100,815.94,150.34,151.14,1.72,-4.77000,29.53600,0.20
100,815.94,150.34,150.90,1.72,-4.68000,29.53600,0.20
100,815.94,150.34,150.72,1.72,-4.68000,29.53600,0.20
100,200.00,150.34,150.60,1.72,-4.68000,29.53600,0.20
100,200.00,150.34,150.50,1.72,-4.68000,29.53600,0.20
100,200.00,150.34,150.42,-2.11,-4.68000,29.53600,0.20
100,200.00,150.34,150.35,-2.11,-4.68000,29.53600,0.20
100,200.00,150.34,150.29,-2.11,-4.68000,28.26320,0.20
100,200.00,150.34,150.23,-2.11,-4.68000,28.26320,0.20
100,200.00,150.34,150.19,-2.11,-4.68000,28.26320,0.20
100,200.00,150.34,150.15,-2.11,-4.68000,28.26320,0.20
100,200.00,150.34,150.12,-2.11,-4.68000,28.26320,0.20
100,200.00,150.34,150.09,-2.11,-4.68000,28.26320,0.20
100,200.00,150.34,150.07,-2.11,-4.68000,28.26320,0.20
100,200.00,150.34,150.06,-2.11,-4.68000,28.26320,0.20
100,200.00,150.34,150.05,-0.36,-4.68000,28.26320,-0.15
100,200.00,150.34,150.05,-0.36,-4.68000,28.26320,-0.15
100,200.00,150.34,150.05,-0.36,-4.68000,28.46960,-0.15
100,200.00,150.34,150.05,-0.36,-4.68000,28.46960,-0.15
100,200.00,150.34,150.05,-0.36,-4.68000,28.46960,-0.15
100,200.00,150.34,150.05,-0.36,-4.68000,28.46960,-0.15
100,200.00,150.34,150.05,-0.36,-4.68000,28.46960,-0.15
100,200.00,150.34,150.05,-0.36,-4.68000,28.46960,-0.15
100,200.00,150.34,150.05,-0.36,-4.68000,28.46960,-0.15
100,815.94,150.34,150.05,-0.36,-4.68000,28.46960,-0.15
100,815.94,150.34,150.10,0.01,-4.68000,28.46960,-0.07
100,815.94,150.34,150.20,0.01,-4.68000,28.46960,-0.07
100,815.94,150.34,150.35,0.01,-4.68000,28.98560,-0.07
100,815.94,150.34,150.55,0.01,-4.68000,28.98560,-0.07
100,200.00,150.34,150.79,0.01,-4.68000,28.98560,-0.07
100,200.00,150.34,151.02,0.01,-4.68000,28.98560,-0.07
100,200.00,150.34,151.24,0.01,-4.68000,28.98560,-0.07
100,200.00,150.34,151.42,0.01,-4.68000,28.98560,-0.07
100,200.00,150.34,151.59,0.01,-4.68000,28.98560,-0.07
100,200.00,150.34,151.75,0.01,-4.68000,28.98560,-0.07
100,200.00,150.34,151.88,1.51,-4.77000,28.98560,0.07
100,-815.94,150.34,151.97,1.51,-4.77000,28.98560,0.07
100,-815.94,150.34,151.99,1.51,-4.77000,27.79880,0.07
100,-815.94,150.34,151.93,1.51,-4.77000,27.79880,0.07
100,-815.94,150.34,151.81,1.51,-4.77000,27.79880,0.07
100,-815.94,150.34,151.62,1.51,-4.77000,27.79880,0.07
100,815.94,150.34,151.41,1.51,-4.77000,27.79880,0.07
100,815.94,150.34,151.26,1.51,-4.77000,27.79880,0.07
100,815.94,150.34,151.17,1.51,-4.77000,27.79880,0.07
100,200.00,150.34,151.14,1.51,-4.68000,27.79880,0.07
100,200.00,150.34,151.12,-0.58,-4.68000,27.79880,-0.05
100,200.00,150.34,151.10,-0.58,-4.68000,27.79880,-0.05
100,200.00,150.34,151.08,-0.58,-4.68000,28.72760,-0.05
100,200.00,150.34,151.07,-0.58,-4.68000,28.72760,-0.05
100,200.00,150.34,151.06,-0.58,-4.68000,28.72760,-0.05
100,200.00,150.34,151.06,-0.58,-4.68000,28.72760,-0.05
